step,env_id,cutoff_hz,input_action,output_action
49,2,10.0,0.0,0.0
49,3,20.0,0.0,0.0
50,0,2.0,1.0,0.12566371262073517
50,1,5.0,1.0,0.3141592741012573
50,2,10.0,1.0,0.6283185482025146
50,3,20.0,1.0,1.0
51,0,2.0,1.0,0.23553606867790222
51,1,5.0,1.0,0.529622495174408
51,2,10.0,1.0,0.8618528842926025
51,3,20.0,1.0,1.0
52,0,2.0,1.0,0.33160144090652466
52,1,5.0,1.0,0.6773959398269653
52,2,10.0,1.0,0.9486532807350159
52,3,20.0,1.0,1.0
53,0,2.0,1.0,0.4155948758125305
53,1,5.0,1.0,0.7787449955940247
53,2,10.0,1.0,0.980915367603302
53,3,20.0,1.0,1.0
54,0,2.0,1.0,0.48903340101242065
54,1,5.0,1.0,0.8482543230056763
54,2,10.0,1.0,0.9929065704345703
54,3,20.0,1.0,1.0
55,0,2.0,1.0,0.5532433390617371
55,1,5.0,1.0,0.8959266543388367
55,2,10.0,1.0,0.9973635077476501
55,3,20.0,1.0,1.0
56,0,2.0,1.0,0.6093844175338745
56,1,5.0,1.0,0.9286222457885742
56,2,10.0,1.0,0.9990200400352478
56,3,20.0,1.0,1.0
57,0,2.0,1.0,0.658470630645752
57,1,5.0,1.0,0.9510462284088135
57,2,10.0,1.0,0.9996357560157776
57,3,20.0,1.0,1.0
58,0,2.0,1.0,0.7013884782791138
58,1,5.0,1.0,0.9664255380630493
58,2,10.0,1.0,0.9998646378517151
58,3,20.0,1.0,1.0
59,0,2.0,1.0,0.7389131188392639
59,1,5.0,1.0,0.976973295211792
59,2,10.0,1.0,0.9999496936798096
59,3,20.0,1.0,1.0
60,0,2.0,1.0,0.7717222571372986
60,1,5.0,1.0,0.9842073321342468
60,2,10.0,1.0,0.9999812841415405
60,3,20.0,1.0,1.0
61,0,2.0,1.0,0.8004084825515747
61,1,5.0,1.0,0.9891687631607056
61,2,10.0,1.0,0.9999930262565613
61,3,20.0,1.0,1.0
62,0,2.0,1.0,0.82548987865448
62,1,5.0,1.0,0.9925714731216431
62,2,10.0,1.0,0.9999974370002747
62,3,20.0,1.0,1.0
63,0,2.0,1.0,0.8474194407463074
63,1,5.0,1.0,0.9949052333831787
63,2,10.0,1.0,0.9999990463256836
63,3,20.0,1.0,1.0
64,0,2.0,1.0,0.8665933012962341
64,1,5.0,1.0,0.9965057969093323
64,2,10.0,1.0,0.9999996423721313
64,3,20.0,1.0,1.0
65,0,2.0,1.0,0.8833577036857605
65,1,5.0,1.0,0.9976035356521606
65,2,10.0,1.0,0.9999998807907104
65,3,20.0,1.0,1.0
66,0,2.0,1.0,0.8980153799057007
66,1,5.0,1.0,0.9983564019203186
66,2,10.0,1.0,0.9999999403953552
66,3,20.0,1.0,1.0
67,0,2.0,1.0,0.9108311533927917
67,1,5.0,1.0,0.9988727569580078
67,2,10.0,1.0,1.0
67,3,20.0,1.0,1.0
68,0,2.0,1.0,0.9220364689826965
68,1,5.0,1.0,0.9992268681526184
68,2,10.0,1.0,1.0
68,3,20.0,1.0,1.0
69,0,2.0,1.0,0.9318336844444275
69,1,5.0,1.0,0.9994697570800781
69,2,10.0,1.0,1.0
69,3,20.0,1.0,1.0
70,0,2.0,1.0,0.940399706363678
70,1,5.0,1.0,0.9996363520622253
70,2,10.0,1.0,1.0
70,3,20.0,1.0,1.0
71,0,2.0,1.0,0.9478893280029297
71,1,5.0,1.0,0.9997506141662598
71,2,10.0,1.0,1.0
71,3,20.0,1.0,1.0
72,0,2.0,1.0,0.9544377326965332
72,1,5.0,1.0,0.9998289346694946
72,2,10.0,1.0,1.0
72,3,20.0,1.0,1.0
73,0,2.0,1.0,0.9601632356643677
73,1,5.0,1.0,0.999882698059082
73,2,10.0,1.0,1.0
73,3,20.0,1.0,1.0
74,0,2.0,1.0,0.9651692509651184
74,1,5.0,1.0,0.9999195337295532
74,2,10.0,1.0,1.0
74,3,20.0,1.0,1.0
75,0,2.0,1.0,0.9695461988449097
75,1,5.0,1.0,0.999944806098938
75,2,10.0,1.0,1.0
75,3,20.0,1.0,1.0
76,0,2.0,1.0,0.9733731150627136
76,1,5.0,1.0,0.9999621510505676
76,2,10.0,1.0,1.0
76,3,20.0,1.0,1.0
77,0,2.0,1.0,0.9767191410064697
77,1,5.0,1.0,0.9999740123748779
77,2,10.0,1.0,1.0
77,3,20.0,1.0,1.0
78,0,2.0,1.0,0.9796447157859802
78,1,5.0,1.0,0.9999821782112122
78,2,10.0,1.0,1.0
78,3,20.0,1.0,1.0
79,0,2.0,1.0,0.9822026491165161
79,1,5.0,1.0,0.999987781047821
79,2,10.0,1.0,1.0
79,3,20.0,1.0,1.0
80,0,2.0,1.0,0.9844391345977783
80,1,5.0,1.0,0.9999915957450867
80,2,10.0,1.0,1.0
80,3,20.0,1.0,1.0
81,0,2.0,1.0,0.9863945841789246
81,1,5.0,1.0,0.9999942183494568
81,2,10.0,1.0,1.0
81,3,20.0,1.0,1.0
82,0,2.0,1.0,0.9881042838096619
82,1,5.0,1.0,0.9999960064888
82,2,10.0,1.0,1.0
