step,env_id,limit,input_action,output_action
0,0,0.5,-1.2000000476837158,-0.5
0,1,0.699999988079071,-1.2000000476837158,-0.699999988079071
0,2,0.8500000238418579,-1.2000000476837158,-0.8500000238418579
0,3,1.0,-1.2000000476837158,-1.0
1,0,0.5,-1.1939849853515625,-0.5
1,1,0.699999988079071,-1.1939849853515625,-0.699999988079071
1,2,0.8500000238418579,-1.1939849853515625,-0.8500000238418579
1,3,1.0,-1.1939849853515625,-1.0
2,0,0.5,-1.1879699230194092,-0.5
2,1,0.699999988079071,-1.1879699230194092,-0.699999988079071
2,2,0.8500000238418579,-1.1879699230194092,-0.8500000238418579
2,3,1.0,-1.1879699230194092,-1.0
3,0,0.5,-1.1819549798965454,-0.5
3,1,0.699999988079071,-1.1819549798965454,-0.699999988079071
3,2,0.8500000238418579,-1.1819549798965454,-0.8500000238418579
3,3,1.0,-1.1819549798965454,-1.0
4,0,0.5,-1.175939917564392,-0.5
4,1,0.699999988079071,-1.175939917564392,-0.699999988079071
4,2,0.8500000238418579,-1.175939917564392,-0.8500000238418579
4,3,1.0,-1.175939917564392,-1.0
5,0,0.5,-1.1699248552322388,-0.5
5,1,0.699999988079071,-1.1699248552322388,-0.699999988079071
5,2,0.8500000238418579,-1.1699248552322388,-0.8500000238418579
5,3,1.0,-1.1699248552322388,-1.0
6,0,0.5,-1.1639097929000854,-0.5
6,1,0.699999988079071,-1.1639097929000854,-0.699999988079071
6,2,0.8500000238418579,-1.1639097929000854,-0.8500000238418579
6,3,1.0,-1.1639097929000854,-1.0
7,0,0.5,-1.1578947305679321,-0.5
7,1,0.699999988079071,-1.1578947305679321,-0.699999988079071
7,2,0.8500000238418579,-1.1578947305679321,-0.8500000238418579
7,3,1.0,-1.1578947305679321,-1.0
8,0,0.5,-1.1518797874450684,-0.5
8,1,0.699999988079071,-1.1518797874450684,-0.699999988079071
8,2,0.8500000238418579,-1.1518797874450684,-0.8500000238418579
8,3,1.0,-1.1518797874450684,-1.0
9,0,0.5,-1.145864725112915,-0.5
9,1,0.699999988079071,-1.145864725112915,-0.699999988079071
9,2,0.8500000238418579,-1.145864725112915,-0.8500000238418579
9,3,1.0,-1.145864725112915,-1.0
10,0,0.5,-1.1398496627807617,-0.5
10,1,0.699999988079071,-1.1398496627807617,-0.699999988079071
10,2,0.8500000238418579,-1.1398496627807617,-0.8500000238418579
10,3,1.0,-1.1398496627807617,-1.0
11,0,0.5,-1.1338346004486084,-0.5
11,1,0.699999988079071,-1.1338346004486084,-0.699999988079071
11,2,0.8500000238418579,-1.1338346004486084,-0.8500000238418579
11,3,1.0,-1.1338346004486084,-1.0
12,0,0.5,-1.127819538116455,-0.5
12,1,0.699999988079071,-1.127819538116455,-0.699999988079071
12,2,0.8500000238418579,-1.127819538116455,-0.8500000238418579
12,3,1.0,-1.127819538116455,-1.0
13,0,0.5,-1.1218045949935913,-0.5
13,1,0.699999988079071,-1.1218045949935913,-0.699999988079071
13,2,0.8500000238418579,-1.1218045949935913,-0.8500000238418579
13,3,1.0,-1.1218045949935913,-1.0
14,0,0.5,-1.115789532661438,-0.5
14,1,0.699999988079071,-1.115789532661438,-0.699999988079071
14,2,0.8500000238418579,-1.115789532661438,-0.8500000238418579
14,3,1.0,-1.115789532661438,-1.0
15,0,0.5,-1.1097744703292847,-0.5
15,1,0.699999988079071,-1.1097744703292847,-0.699999988079071
15,2,0.8500000238418579,-1.1097744703292847,-0.8500000238418579
15,3,1.0,-1.1097744703292847,-1.0
16,0,0.5,-1.1037594079971313,-0.5
16,1,0.699999988079071,-1.1037594079971313,-0.699999988079071
16,2,0.8500000238418579,-1.1037594079971313,-0.8500000238418579
16,3,1.0,-1.1037594079971313,-1.0
17,0,0.5,-1.0977444648742676,-0.5
17,1,0.699999988079071,-1.0977444648742676,-0.699999988079071
17,2,0.8500000238418579,-1.0977444648742676,-0.8500000238418579
17,3,1.0,-1.0977444648742676,-1.0
18,0,0.5,-1.0917294025421143,-0.5
18,1,0.699999988079071,-1.0917294025421143,-0.699999988079071
18,2,0.8500000238418579,-1.0917294025421143,-0.8500000238418579
18,3,1.0,-1.0917294025421143,-1.0
19,0,0.5,-1.085714340209961,-0.5
19,1,0.699999988079071,-1.085714340209961,-0.699999988079071
19,2,0.8500000238418579,-1.085714340209961,-0.8500000238418579
19,3,1.0,-1.085714340209961,-1.0
20,0,0.5,-1.0796992778778076,-0.5
20,1,0.699999988079071,-1.0796992778778076,-0.699999988079071
20,2,0.8500000238418579,-1.0796992778778076,-0.8500000238418579
20,3,1.0,-1.0796992778778076,-1.0
21,0,0.5,-1.0736842155456543,-0.5
21,1,0.699999988079071,-1.0736842155456543,-0.699999988079071
21,2,0.8500000238418579,-1.0736842155456543,-0.8500000238418579
21,3,1.0,-1.0736842155456543,-1.0
22,0,0.5,-1.0676692724227905,-0.5
22,1,0.699999988079071,-1.0676692724227905,-0.699999988079071
22,2,0.8500000238418579,-1.0676692724227905,-0.8500000238418579
22,3,1.0,-1.0676692724227905,-1.0
23,0,0.5,-1.0616542100906372,-0.5
23,1,0.699999988079071,-1.0616542100906372,-0.699999988079071
23,2,0.8500000238418579,-1.0616542100906372,-0.8500000238418579
23,3,1.0,-1.0616542100906372,-1.0
24,0,0.5,-1.0556391477584839,-0.5
24,1,0.699999988079071,-1.0556391477584839,-0.699999988079071
24,2,0.8500000238418579,-1.0556391477584839,-0.8500000238418579
24,3,1.0,-1.0556391477584839,-1.0
25,0,0.5,-1.0496240854263306,-0.5
25,1,0.699999988079071,-1.0496240854263306,-0.699999988079071
25,2,0.8500000238418579,-1.0496240854263306,-0.8500000238418579
25,3,1.0,-1.0496240854263306,-1.0
26,0,0.5,-1.0436090230941772,-0.5
26,1,0.699999988079071,-1.0436090230941772,-0.699999988079071
26,2,0.8500000238418579,-1.0436090230941772,-0.8500000238418579
26,3,1.0,-1.0436090230941772,-1.0
27,0,0.5,-1.0375940799713135,-0.5
27,1,0.699999988079071,-1.0375940799713135,-0.699999988079071
27,2,0.8500000238418579,-1.0375940799713135,-0.8500000238418579
27,3,1.0,-1.0375940799713135,-1.0
28,0,0.5,-1.0315790176391602,-0.5
28,1,0.699999988079071,-1.0315790176391602,-0.699999988079071
28,2,0.8500000238418579,-1.0315790176391602,-0.8500000238418579
28,3,1.0,-1.0315790176391602,-1.0
29,0,0.5,-1.0255639553070068,-0.5
29,1,0.699999988079071,-1.0255639553070068,-0.699999988079071
29,2,0.8500000238418579,-1.0255639553070068,-0.8500000238418579
29,3,1.0,-1.0255639553070068,-1.0
30,0,0.5,-1.0195488929748535,-0.5
30,1,0.699999988079071,-1.0195488929748535,-0.699999988079071
30,2,0.8500000238418579,-1.0195488929748535,-0.8500000238418579
30,3,1.0,-1.0195488929748535,-1.0
31,0,0.5,-1.0135338306427002,-0.5
31,1,0.699999988079071,-1.0135338306427002,-0.699999988079071
31,2,0.8500000238418579,-1.0135338306427002,-0.8500000238418579
31,3,1.0,-1.0135338306427002,-1.0
32,0,0.5,-1.0075188875198364,-0.5
32,1,0.699999988079071,-1.0075188875198364,-0.699999988079071
32,2,0.8500000238418579,-1.0075188875198364,-0.8500000238418579
32,3,1.0,-1.0075188875198364,-1.0
33,0,0.5,-1.001503825187683,-0.5
33,1,0.699999988079071,-1.001503825187683,-0.699999988079071
33,2,0.8500000238418579,-1.001503825187683,-0.8500000238418579
33,3,1.0,-1.001503825187683,-1.0
34,0,0.5,-0.9954887628555298,-0.5
34,1,0.699999988079071,-0.9954887628555298,-0.699999988079071
34,2,0.8500000238418579,-0.9954887628555298,-0.8500000238418579
34,3,1.0,-0.9954887628555298,-0.9954887628555298
35,0,0.5,-0.9894737005233765,-0.5
35,1,0.699999988079071,-0.9894737005233765,-0.699999988079071
35,2,0.8500000238418579,-0.9894737005233765,-0.8500000238418579
35,3,1.0,-0.9894737005233765,-0.9894737005233765
36,0,0.5,-0.9834586977958679,-0.5
36,1,0.699999988079071,-0.9834586977958679,-0.699999988079071
36,2,0.8500000238418579,-0.9834586977958679,-0.8500000238418579
36,3,1.0,-0.9834586977958679,-0.9834586977958679
37,0,0.5,-0.9774436354637146,-0.5
37,1,0.699999988079071,-0.9774436354637146,-0.699999988079071
37,2,0.8500000238418579,-0.9774436354637146,-0.8500000238418579
37,3,1.0,-0.9774436354637146,-0.9774436354637146
38,0,0.5,-0.971428632736206,-0.5
38,1,0.699999988079071,-0.971428632736206,-0.699999988079071
38,2,0.8500000238418579,-0.971428632736206,-0.8500000238418579
38,3,1.0,-0.971428632736206,-0.971428632736206
39,0,0.5,-0.9654135704040527,-0.5
39,1,0.699999988079071,-0.9654135704040527,-0.699999988079071
39,2,0.8500000238418579,-0.9654135704040527,-0.8500000238418579
39,3,1.0,-0.9654135704040527,-0.9654135704040527
40,0,0.5,-0.9593985676765442,-0.5
40,1,0.699999988079071,-0.9593985676765442,-0.699999988079071
40,2,0.8500000238418579,-0.9593985676765442,-0.8500000238418579
40,3,1.0,-0.9593985676765442,-0.9593985676765442
41,0,0.5,-0.9533835053443909,-0.5
41,1,0.699999988079071,-0.9533835053443909,-0.699999988079071
41,2,0.8500000238418579,-0.9533835053443909,-0.8500000238418579
41,3,1.0,-0.9533835053443909,-0.9533835053443909
42,0,0.5,-0.9473684430122375,-0.5
42,1,0.699999988079071,-0.9473684430122375,-0.699999988079071
42,2,0.8500000238418579,-0.9473684430122375,-0.8500000238418579
42,3,1.0,-0.9473684430122375,-0.9473684430122375
43,0,0.5,-0.941353440284729,-0.5
43,1,0.699999988079071,-0.941353440284729,-0.699999988079071
43,2,0.8500000238418579,-0.941353440284729,-0.8500000238418579
43,3,1.0,-0.941353440284729,-0.941353440284729
44,0,0.5,-0.9353383779525757,-0.5
44,1,0.699999988079071,-0.9353383779525757,-0.699999988079071
44,2,0.8500000238418579,-0.9353383779525757,-0.8500000238418579
44,3,1.0,-0.9353383779525757,-0.9353383779525757
45,0,0.5,-0.9293233752250671,-0.5
45,1,0.699999988079071,-0.9293233752250671,-0.699999988079071
45,2,0.8500000238418579,-0.9293233752250671,-0.8500000238418579
45,3,1.0,-0.9293233752250671,-0.9293233752250671
46,0,0.5,-0.9233083128929138,-0.5
46,1,0.699999988079071,-0.9233083128929138,-0.699999988079071
46,2,0.8500000238418579,-0.9233083128929138,-0.8500000238418579
46,3,1.0,-0.9233083128929138,-0.9233083128929138
47,0,0.5,-0.9172932505607605,-0.5
47,1,0.699999988079071,-0.9172932505607605,-0.699999988079071
47,2,0.8500000238418579,-0.9172932505607605,-0.8500000238418579
47,3,1.0,-0.9172932505607605,-0.9172932505607605
48,0,0.5,-0.911278247833252,-0.5
48,1,0.699999988079071,-0.911278247833252,-0.699999988079071
