n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.00017543499998282642,0.00016707167000276968,-4.7671958166132375
1,1,0.00016193292016396298,0.00016170125018106775,-0.1430654018099945
1,2,0.00016344959003617988,0.00016330542013747617,-0.08820450309590828
1,3,0.00016287750011542812,0.00015523207985097543,-4.693969553213013
1,4,0.0001576408400433138,0.00017301166022662073,9.750531765171777
4,0,0.00016965707996860146,0.0001782545799505897,5.067575124822013
4,1,0.00016321292001521216,0.00018051833001663908,10.602965745489987
4,2,0.00016716124984668567,0.00017334749980363995,3.700767948689123
4,3,0.00016599458002019673,0.00017049083020538093,2.708672888378121
4,4,0.00017479874979471787,0.00016767167020589112,-4.077305814370367
16,0,0.00018111040990334004,0.00018892416992457583,4.3143627279105905
16,1,0.0001830104101100005,0.0001907237499835901,4.214700064850631
16,2,0.00017700707976473496,0.00020713541976874694,17.02098020263167
16,3,0.0001723458297783509,0.00018352042010519654,6.4838182282779755
16,4,0.00018605000019306317,0.00019582334003644065,5.253071665270484
64,0,0.0002359645802062005,0.0002433262500562705,3.1198198660311394
64,1,0.00022086999990278855,0.0002290612499928102,3.708629552961856
64,2,0.0002293058400391601,0.00022618167015025392,-1.3624467167398133
64,3,0.0002248220899491571,0.00024398709007073194,8.524518265046353
64,4,0.00022265042003709822,0.0002304887498030439,3.5204648455815364
128,0,0.0002856879201135598,0.0002855066698975861,-0.0634434301253027
128,1,0.0002868145899265073,0.00028915542003232986,0.8161475001750634
128,2,0.0002894037499208935,0.00028652958979364485,-0.9931316121626841
128,3,0.0002857670802040957,0.00028697291010757906,0.4219624956878111
128,4,0.00028443415998481215,0.00029564291005954144,3.940718679967202
