step,env_id,time_s,soc,voltage_ratio
31,6,0.31,0.9869474172592163,0.9960842132568359
31,7,0.31,0.8343667387962341,0.9503099918365479
32,0,0.32,0.7940213084220886,0.9382063746452332
32,1,0.32,0.5254064798355103,0.8576219081878662
32,2,0.32,0.5741134881973267,0.872234046459198
32,3,0.32,0.5998496413230896,0.8799548745155334
32,4,0.32,0.9608241319656372,0.988247275352478
32,5,0.32,0.9360700249671936,0.9808210134506226
32,6,0.32,0.9868850111961365,0.9960654973983765
32,7,0.32,0.8343449831008911,0.9503034949302673
33,0,0.33,0.7939406037330627,0.9381821751594543
33,1,0.33,0.5253682136535645,0.8576104640960693
33,2,0.33,0.5740900635719299,0.8722270131111145
33,3,0.33,0.5998244285583496,0.879947304725647
33,4,0.33,0.9607419967651367,0.988222599029541
33,5,0.33,0.9360154271125793,0.9808046221733093
33,6,0.33,0.9868226051330566,0.996046781539917
33,7,0.33,0.8343232274055481,0.9502969980239868
34,0,0.34,0.7938598990440369,0.9381579756736755
34,1,0.34,0.5253299474716187,0.8575989603996277
34,2,0.34,0.5740666389465332,0.872219979763031
34,3,0.34,0.5997992157936096,0.8799397945404053
34,4,0.34,0.9606598615646362,0.988197922706604
34,5,0.34,0.9359608292579651,0.9807882308959961
34,6,0.34,0.9867601990699768,0.9960280656814575
34,7,0.34,0.8343014717102051,0.9502904415130615
35,0,0.35,0.793779194355011,0.9381337761878967
35,1,0.35,0.5252916812896729,0.8575875163078308
35,2,0.35,0.5740432143211365,0.8722129464149475
35,3,0.35,0.5997740030288696,0.879932165145874
35,4,0.35,0.9605777263641357,0.9881733059883118
35,5,0.35,0.9359062314033508,0.9807718992233276
35,6,0.35,0.986697793006897,0.996009349822998
35,7,0.35,0.8342797160148621,0.9502838850021362
36,0,0.36,0.7936984896659851,0.9381095170974731
36,1,0.36,0.525253415107727,0.8575760126113892
36,2,0.36,0.5740197896957397,0.872205913066864
36,3,0.36,0.5997487902641296,0.8799246549606323
36,4,0.36,0.9604955911636353,0.9881486892700195
36,5,0.36,0.9358516335487366,0.9807554483413696
36,6,0.36,0.9866353869438171,0.9959906339645386
36,7,0.36,0.834257960319519,0.9502773880958557
37,0,0.37,0.7936177849769592,0.9380853176116943
37,1,0.37,0.5252151489257812,0.8575645685195923
37,2,0.37,0.573996365070343,0.8721989393234253
37,3,0.37,0.5997235774993896,0.8799170851707458
37,4,0.37,0.9604134559631348,0.9881240129470825
37,5,0.37,0.9357970356941223,0.9807391166687012
