step,time_s,target_vx,actual_vx
172,1.72,3.672,1.5892
173,1.73,3.4978,1.6392
174,1.74,3.3148,1.6892
175,1.75,3.1236,1.7392
176,1.76,2.9246,1.7892
177,1.77,2.7182,1.8392
178,1.78,2.5051,1.8892
179,1.79,2.2857,1.9392
180,1.8,2.0606,1.9892
181,1.81,1.8303,1.9392
182,1.82,1.5955,1.8892
183,1.83,1.3567,1.8392
184,1.84,1.1144,1.7892
185,1.85,0.8694,1.7392
186,1.86,0.6223,1.6892
187,1.87,0.3735,1.6392
188,1.88,0.1239,1.5892
189,1.89,-0.1261,1.5392
190,1.9,-0.3758,1.4892
191,1.91,-0.6245,1.4392
192,1.92,-0.8716,1.3892
193,1.93,-1.1166,1.3392
194,1.94,-1.3588,1.2892
195,1.95,-1.5976,1.2392
196,1.96,-1.8324,1.1892
197,1.97,-2.0626,1.1392
198,1.98,-2.2877,1.0892
199,1.99,-2.507,1.0392
200,2.0,-2.7201,0.9892
201,2.01,-2.9264,0.9392
202,2.02,-3.1254,0.8892
203,2.03,-3.3165,0.8392
204,2.04,-3.4994,0.7892
205,2.05,-3.6735,0.7392
206,2.06,-3.8384,0.6892
207,2.07,-3.9938,0.6392
208,2.08,-4.1391,0.5892
209,2.09,-4.2741,0.5392
210,2.1,-4.3985,0.4892
211,2.11,-4.5118,0.4392
212,2.12,-4.6139,0.3892
213,2.13,-4.7044,0.3392
214,2.14,-4.7832,0.2892
215,2.15,-4.85,0.2392
216,2.16,-4.9047,0.1892
217,2.17,-4.9471,0.1392
218,2.18,-4.9772,0.0892
219,2.19,-4.9948,0.0392
220,2.2,-5.0,-0.0108
221,2.21,-4.9926,-0.0608
222,2.22,-4.9728,-0.1108
223,2.23,-4.9405,-0.1608
224,2.24,-4.8959,-0.2108
225,2.25,-4.839,-0.2608
226,2.26,-4.7701,-0.3108
227,2.27,-4.6892,-0.3608
228,2.28,-4.5966,-0.4108
229,2.29,-4.4926,-0.4608
230,2.3,-4.3773,-0.5108
231,2.31,-4.251,-0.5608
232,2.32,-4.1141,-0.6108
233,2.33,-3.967,-0.6608
234,2.34,-3.8099,-0.7108
235,2.35,-3.6433,-0.7608
236,2.36,-3.4676,-0.8108
237,2.37,-3.2833,-0.8608
238,2.38,-3.0907,-0.9108
239,2.39,-2.8904,-0.9608
240,2.4,-2.6829,-1.0108
241,2.41,-2.4686,-1.0608
242,2.42,-2.2482,-1.1108
243,2.43,-2.0222,-1.1608
244,2.44,-1.7911,-1.2108
245,2.45,-1.5556,-1.2608
246,2.46,-1.3162,-1.3108
247,2.47,-1.0734,-1.2608
248,2.48,-0.828,-1.2108
249,2.49,-0.5805,-1.1608
250,2.5,-0.3316,-1.1108
251,2.51,-0.0818,-1.0608
252,2.52,0.1681,-1.0108
253,2.53,0.4177,-0.9608
254,2.54,0.6662,-0.9108
255,2.55,0.913,-0.8608
256,2.56,1.1575,-0.8108
257,2.57,1.3992,-0.7608
258,2.58,1.6374,-0.7108
259,2.59,1.8714,-0.6608
260,2.6,2.1008,-0.6108
261,2.61,2.325,-0.5608
262,2.62,2.5433,-0.5108
263,2.63,2.7553,-0.4608
264,2.64,2.9604,-0.4108
265,2.65,3.1581,-0.3608
266,2.66,3.3478,-0.3108
267,2.67,3.5293,-0.2608
268,2.68,3.7019,-0.2108
269,2.69,3.8652,-0.1608
270,2.7,4.0189,-0.1108
271,2.71,4.1626,-0.0608
272,2.72,4.2958,-0.0108
273,2.73,4.4183,0.0392
274,2.74,4.5298,0.0892
275,2.75,4.6299,0.1392
276,2.76,4.7185,0.1892
277,2.77,4.7953,0.2392
278,2.78,4.86,0.2892
279,2.79,4.9127,0.3392
280,2.8,4.953,0.3892
281,2.81,4.981,0.4392
282,2.82,4.9965,0.4892
283,2.83,4.9996,0.5392
284,2.84,4.9901,0.5892
285,2.85,4.9682,0.6392
286,2.86,4.9339,0.6892
287,2.87,4.8872,0.7392
288,2.88,4.8283,0.7892
289,2.89,4.7573,0.8392
290,2.9,4.6745,0.8892
291,2.91,4.5799,0.9392
292,2.92,4.474,0.9892
293,2.93,4.3568,1.0392
294,2.94,4.2287,1.0892
295,2.95,4.0901,1.1392
296,2.96,3.9413,1.1892
297,2.97,3.7826,1.2392
298,2.98,3.6144,1.2892
299,2.99,3.4372,1.3392
