step,env_id,time_s,value
27,3,0.27,-0.005821563303470612
28,0,0.28,0.00035610905615612864
28,1,0.28,-0.0006921992171555758
28,2,0.28,0.003941761329770088
28,3,0.28,-0.007031554821878672
29,0,0.29,-0.001277056522667408
29,1,0.29,-0.0009970737155526876
29,2,0.29,0.0034624955151230097
29,3,0.29,-0.004607309587299824
30,0,0.3,-0.0030070326756685972
30,1,0.3,0.0006949383532628417
30,2,0.3,0.003086268436163664
30,3,0.3,-0.004623958840966225
31,0,0.31,-0.0030452634673565626
31,1,0.31,0.0018726957496255636
31,2,0.31,0.0021489846985787153
31,3,0.31,-0.005632768850773573
32,0,0.32,-0.0021901754662394524
32,1,0.32,0.0018190990667790174
32,2,0.32,0.002854979829862714
32,3,0.32,-0.005959059111773968
33,0,0.33,-0.0020732625853270292
33,1,0.33,0.0014783830847591162
33,2,0.33,0.003619353985413909
33,3,0.33,-0.0069826687686145306
34,0,0.34,-0.0028187630232423544
34,1,0.34,0.0016581353265792131
34,2,0.34,0.0041130525059998035
34,3,0.34,-0.005891881883144379
35,0,0.35,-0.0034935572184622288
35,1,0.35,0.0010823473567143083
35,2,0.35,0.004940827377140522
35,3,0.35,-0.006444807630032301
36,0,0.36,-0.0012389456387609243
36,1,0.36,0.0009259735234081745
36,2,0.36,0.005732693709433079
36,3,0.36,-0.0076149264350533485
37,0,0.37,-0.00145115761552006
37,1,0.37,-0.00033891957718878984
37,2,0.37,0.004620851017534733
37,3,0.37,-0.009047621861100197
38,0,0.38,-0.0010793297551572323
38,1,0.38,-0.0013768852222710848
38,2,0.38,0.0032703671604394913
38,3,0.38,-0.010594740509986877
39,0,0.39,-0.0033150967210531235
39,1,0.39,-0.0008836648776195943
39,2,0.39,0.003661189693957567
39,3,0.39,-0.010304314084351063
40,0,0.4,-0.0029569468460977077
40,1,0.4,-0.0005827308050356805
40,2,0.4,0.005077969282865524
40,3,0.4,-0.010684875771403313
41,0,0.41,-0.0021554590202867985
41,1,0.41,0.0007665688754059374
41,2,0.41,0.00370592949911952
41,3,0.41,-0.011092365719377995
42,0,0.42,-0.003263600170612335
42,1,0.42,0.0008922121487557888
42,2,0.42,0.0034523075446486473
42,3,0.42,-0.01192744355648756
43,0,0.43,-0.002266399562358856
43,1,0.43,0.0007209974573925138
43,2,0.43,0.003376926761120558
43,3,0.43,-0.013182112015783787
44,0,0.44,-0.0019439676543697715
44,1,0.44,0.0006739227683283389
44,2,0.44,0.002237070817500353
44,3,0.44,-0.013351209461688995
45,0,0.45,-0.0022479372564703226
45,1,0.45,0.0014344056835398078
45,2,0.45,0.0009288579458370805
45,3,0.45,-0.013133788481354713
46,0,0.46,-0.003695601597428322
46,1,0.46,0.00042775971814990044
46,2,0.46,0.0014697618316859007
46,3,0.46,-0.014132481999695301
47,0,0.47,-0.0028025945648550987
47,1,0.47,0.000566704839002341
47,2,0.47,0.003467201255261898
47,3,0.47,-0.01509805116802454
48,0,0.48,-0.0025438559241592884
48,1,0.48,0.000973089481703937
48,2,0.48,0.002436996903270483
48,3,0.48,-0.01571481116116047
49,0,0.49,-0.0014696791768074036
49,1,0.49,0.002451739739626646
49,2,0.49,0.0029584188014268875
49,3,0.49,-0.015646614134311676
50,0,0.5,-0.0014490659814327955
50,1,0.5,0.003168390830978751
50,2,0.5,0.0037806194741278887
50,3,0.5,-0.015761908143758774
51,0,0.51,0.0006866012699902058
51,1,0.51,0.0029070533346384764
51,2,0.51,0.00298546114936471
51,3,0.51,-0.014880070462822914
52,0,0.52,-4.701019497588277e-05
52,1,0.52,0.00208428967744112
52,2,0.52,0.0017561138374730945
52,3,0.52,-0.015623662620782852
53,0,0.53,-0.0008858863147906959
53,1,0.53,0.001741238753311336
53,2,0.53,0.00037602579686790705
53,3,0.53,-0.013598458841443062
54,0,0.54,-0.000685845036059618
54,1,0.54,0.001804355881176889
54,2,0.54,0.0011567866895347834
54,3,0.54,-0.013202788308262825
55,0,0.55,-0.0002894107310567051
55,1,0.55,0.0019669414032250643
55,2,0.55,0.0020046699792146683
55,3,0.55,-0.014494354836642742
56,0,0.56,-0.00042336585465818644
56,1,0.56,0.004489372484385967
56,2,0.56,0.0020613439846783876
56,3,0.56,-0.013605245389044285
57,0,0.57,-0.0012037811102345586
57,1,0.57,0.00433695362880826
57,2,0.57,0.001593547291122377
57,3,0.57,-0.013099322095513344
58,0,0.58,-0.0025139355566352606
58,1,0.58,0.003863040590658784
58,2,0.58,0.004471889231353998
58,3,0.58,-0.012676157988607883
59,0,0.59,-0.0015142930205911398
59,1,0.59,0.005376454442739487
59,2,0.59,0.004474574234336615
59,3,0.59,-0.014496082440018654
60,0,0.6,0.00044428114779293537
60,1,0.6,0.00581081910058856
60,2,0.6,0.0037826858460903168
60,3,0.6,-0.014689572155475616
61,0,0.61,0.000257470877841115
61,1,0.61,0.003821589285507798
61,2,0.61,0.0017364847008138895
61,3,0.61,-0.013888617046177387
62,0,0.62,-8.965874440036714e-05
62,1,0.62,0.005481507629156113
62,2,0.62,0.0033657317981123924
62,3,0.62,-0.013953696936368942
63,0,0.63,0.0007401971379294991
63,1,0.63,0.005321994423866272
63,2,0.63,0.0037767034955322742
63,3,0.63,-0.015606760047376156
64,0,0.64,0.0007082701195031404
64,1,0.64,0.004390232730656862
64,2,0.64,0.0019311078358441591
64,3,0.64,-0.01648949272930622
65,0,0.65,0.0010886648669838905
65,1,0.65,0.0023558284156024456
65,2,0.65,0.0020365924574434757
65,3,0.65,-0.016049938276410103
66,0,0.66,0.0007106492412276566
66,1,0.66,0.0022394151892513037
66,2,0.66,0.0015828260220587254
66,3,0.66,-0.015245441347360611
67,0,0.67,0.0008892748155631125
67,1,0.67,0.001523636281490326
67,2,0.67,0.002755359746515751
67,3,0.67,-0.014452099800109863
68,0,0.68,0.0019766122568398714
68,1,0.68,0.00017855025362223387
68,2,0.68,0.0008364773821085691
68,3,0.68,-0.014925011433660984
69,0,0.69,0.004277115687727928
69,1,0.69,0.00030054926173761487
69,2,0.69,0.001013516797684133
