step,env_id,time_s,efficiency
43,6,0.43,0.9909389019012451
43,7,0.43,0.9781274795532227
44,0,0.44,0.989888072013855
44,1,0.44,0.9939703941345215
44,2,0.44,0.9935305118560791
44,3,0.44,0.9681863188743591
44,4,0.44,0.9709087610244751
44,5,0.44,0.9555262923240662
44,6,0.44,0.9907329678535461
44,7,0.44,0.9776303768157959
45,0,0.45,0.9896633625030518
45,1,0.45,0.9938364028930664
45,2,0.45,0.9933867454528809
45,3,0.45,0.9674793481826782
45,4,0.45,0.9702622890472412
45,5,0.45,0.9545379877090454
45,6,0.45,0.9905270338058472
45,7,0.45,0.9771332740783691
46,0,0.46,0.9894386529922485
46,1,0.46,0.9937024116516113
46,2,0.46,0.9932429790496826
46,3,0.46,0.9667723774909973
46,4,0.46,0.9696158170700073
46,5,0.46,0.9535496830940247
46,6,0.46,0.9903210997581482
46,7,0.46,0.9766361713409424
47,0,0.47,0.9892139434814453
47,1,0.47,0.9935684204101562
47,2,0.47,0.9930992126464844
47,3,0.47,0.9660654067993164
47,4,0.47,0.9689693450927734
47,5,0.47,0.9525613784790039
47,6,0.47,0.9901151657104492
47,7,0.47,0.9761390686035156
48,0,0.48,0.9889892339706421
48,1,0.48,0.9934344291687012
48,2,0.48,0.9929554462432861
48,3,0.48,0.9653584361076355
48,4,0.48,0.9683228731155396
48,5,0.48,0.9515730738639832
48,6,0.48,0.9899092316627502
48,7,0.48,0.9756419658660889
49,0,0.49,0.9887645244598389
49,1,0.49,0.9933004379272461
49,2,0.49,0.9928116798400879
49,3,0.49,0.9646514654159546
49,4,0.49,0.9676764011383057
49,5,0.49,0.9505847692489624
49,6,0.49,0.9897032976150513
49,7,0.49,0.9751448631286621
50,0,0.5,0.9885398149490356
50,1,0.5,0.993166446685791
50,2,0.5,0.9926679134368896
50,3,0.5,0.9639444947242737
50,4,0.5,0.9670299291610718
50,5,0.5,0.9495964646339417
50,6,0.5,0.9894973635673523
50,7,0.5,0.9746477603912354
51,0,0.51,0.9883151054382324
51,1,0.51,0.9930324554443359
51,2,0.51,0.9925241470336914
51,3,0.51,0.9632375240325928
51,4,0.51,0.9663834571838379
51,5,0.51,0.9486081600189209
51,6,0.51,0.9892914295196533
51,7,0.51,0.9741506576538086
52,0,0.52,0.9880903959274292
52,1,0.52,0.9928984642028809
52,2,0.52,0.9923803806304932
52,3,0.52,0.9625305533409119
52,4,0.52,0.965736985206604
52,5,0.52,0.9476198554039001
52,6,0.52,0.9890854954719543
52,7,0.52,0.9736535549163818
53,0,0.53,0.987865686416626
53,1,0.53,0.9927644729614258
53,2,0.53,0.9922366142272949
53,3,0.53,0.961823582649231
53,4,0.53,0.9650905132293701
53,5,0.53,0.9466315507888794
53,6,0.53,0.9888795614242554
53,7,0.53,0.9731564521789551
54,0,0.54,0.9876409769058228
54,1,0.54,0.9926304817199707
54,2,0.54,0.9920928478240967
54,3,0.54,0.96111661195755
54,4,0.54,0.9644440412521362
54,5,0.54,0.9456432461738586
54,6,0.54,0.9886736273765564
54,7,0.54,0.9726593494415283
55,0,0.55,0.9874162673950195
55,1,0.55,0.9924964904785156
55,2,0.55,0.9919490814208984
55,3,0.55,0.9604096412658691
55,4,0.55,0.9637975692749023
55,5,0.55,0.9446549415588379
55,6,0.55,0.9884676933288574
55,7,0.55,0.9721622467041016
56,0,0.56,0.9871915578842163
56,1,0.56,0.9923624992370605
56,2,0.56,0.9918053150177002
56,3,0.56,0.9597026705741882
56,4,0.56,0.9631510972976685
56,5,0.56,0.9436666369438171
56,6,0.56,0.9882617592811584
56,7,0.56,0.9716651439666748
57,0,0.57,0.9869668483734131
57,1,0.57,0.9922285079956055
57,2,0.57,0.991661548614502
57,3,0.57,0.9589956998825073
57,4,0.57,0.9625046253204346
57,5,0.57,0.9426783323287964
57,6,0.57,0.9880558252334595
57,7,0.57,0.971168041229248
58,0,0.58,0.9867421388626099
58,1,0.58,0.9920945167541504
58,2,0.58,0.9915177822113037
58,3,0.58,0.9582887291908264
58,4,0.58,0.9618581533432007
58,5,0.58,0.9416900277137756
58,6,0.58,0.9878498911857605
58,7,0.58,0.9706709384918213
59,0,0.59,0.9865174293518066
59,1,0.59,0.9919605255126953
59,2,0.59,0.9913740158081055
59,3,0.59,0.9575817584991455
59,4,0.59,0.9612116813659668
59,5,0.59,0.9407017230987549
59,6,0.59,0.9876439571380615
59,7,0.59,0.9701738357543945
60,0,0.6,0.9862927198410034
60,1,0.6,0.9918265342712402
60,2,0.6,0.9912302494049072
60,3,0.6,0.9568747878074646
60,4,0.6,0.9605652093887329
60,5,0.6,0.9397134184837341
60,6,0.6,0.9874380230903625
60,7,0.6,0.9696767330169678
61,0,0.61,0.9860680103302002
61,1,0.61,0.9916925430297852
61,2,0.61,0.991086483001709
61,3,0.61,0.9561678171157837
61,4,0.61,0.959918737411499
61,5,0.61,0.9387251138687134
61,6,0.61,0.9872320890426636
61,7,0.61,0.969179630279541
62,0,0.62,0.985843300819397
62,1,0.62,0.9915585517883301
62,2,0.62,0.9909427165985107
62,3,0.62,0.9554608464241028
62,4,0.62,0.9592722654342651
62,5,0.62,0.9377368092536926
62,6,0.62,0.9870261549949646
62,7,0.62,0.9686825275421143
63,0,0.63,0.9856185913085938
63,1,0.63,0.991424560546875
63,2,0.63,0.9907989501953125
63,3,0.63,0.9547538757324219
63,4,0.63,0.9586257934570312
63,5,0.63,0.9367485046386719
63,6,0.63,0.9868202209472656
63,7,0.63,0.9681854248046875
64,0,0.64,0.9853938817977905
64,1,0.64,0.9912905693054199
64,2,0.64,0.9906551837921143
64,3,0.64,0.954046905040741
64,4,0.64,0.9579793214797974
64,5,0.64,0.9357602000236511
64,6,0.64,0.9866142868995667
64,7,0.64,0.9676883220672607
65,0,0.65,0.9851691722869873
