step,input_action,output_action
0,0.0,0.0
1,0.06279052048921585,0.3627905249595642
2,0.12533323466777802,0.42533326148986816
3,0.187381312251091,0.48738133907318115
4,0.24868988990783691,0.5486899018287659
5,0.30901700258255005,0.609017014503479
6,0.3681245446205139,0.6681245565414429
7,0.4257792830467224,0.7257792949676514
8,0.4817536771297455,0.781753659248352
9,0.5358268022537231,0.8358268141746521
10,0.5877852439880371,0.8877852559089661
11,0.6374239921569824,0.9374240040779114
12,0.6845471262931824,0.9845471382141113
13,0.728968620300293,1.0289685726165771
14,0.7705132365226746,1.0705132484436035
15,0.80901700258255,1.109017014503479
16,0.8443279266357422,1.1443278789520264
17,0.8763066530227661,1.1763067245483398
18,0.9048270583152771,1.204827070236206
19,0.9297764897346497,1.2297765016555786
20,0.9510565400123596,1.2510565519332886
21,0.9685831665992737,1.2685831785202026
22,0.9822872281074524,1.2822872400283813
23,0.9921147227287292,1.2921147346496582
24,0.9980267286300659,1.2980268001556396
25,1.0,1.2999999523162842
26,0.9980267286300659,0.698026716709137
27,0.9921147227287292,0.6921147108078003
28,0.9822872281074524,0.6822872161865234
29,0.9685831665992737,0.6685831546783447
30,0.9510565400123596,0.6510565280914307
31,0.9297764897346497,0.6297764778137207
32,0.9048270583152771,0.6048270463943481
33,0.8763066530227661,0.5763066411018372
34,0.8443279266357422,0.5443279147148132
35,0.80901700258255,0.5090169906616211
36,0.7705132365226746,0.4705132246017456
37,0.728968620300293,0.428968608379364
38,0.6845471262931824,0.3845471143722534
39,0.6374239921569824,0.33742398023605347
40,0.5877852439880371,0.28778523206710815
41,0.5358268022537231,0.2358267903327942
42,0.4817536771297455,0.18175366520881653
43,0.4257792830467224,0.12577927112579346
44,0.3681245446205139,0.06812453269958496
45,0.30901700258255005,0.009016990661621094
46,0.24868988990783691,-0.05131012201309204
47,0.187381312251091,-0.11261869966983795
48,0.12533323466777802,-0.17466677725315094
49,0.06279052048921585,-0.2372094988822937
50,1.2246468525851679e-16,-0.30000001192092896
51,-0.06279052048921585,-0.3627905249595642
52,-0.12533323466777802,-0.42533326148986816
53,-0.187381312251091,-0.48738133907318115
54,-0.24868988990783691,-0.5486899018287659
55,-0.30901700258255005,-0.609017014503479
56,-0.3681245446205139,-0.6681245565414429
57,-0.4257792830467224,-0.7257792949676514
58,-0.4817536771297455,-0.781753659248352
59,-0.5358268022537231,-0.8358268141746521
60,-0.5877852439880371,-0.8877852559089661
61,-0.6374239921569824,-0.9374240040779114
62,-0.6845471262931824,-0.9845471382141113
63,-0.728968620300293,-1.0289685726165771
64,-0.7705132365226746,-1.0705132484436035
65,-0.80901700258255,-1.109017014503479
66,-0.8443279266357422,-1.1443278789520264
67,-0.8763066530227661,-1.1763067245483398
68,-0.9048270583152771,-1.204827070236206
69,-0.9297764897346497,-1.2297765016555786
70,-0.9510565400123596,-1.2510565519332886
71,-0.9685831665992737,-1.2685831785202026
72,-0.9822872281074524,-1.2822872400283813
73,-0.9921147227287292,-1.2921147346496582
74,-0.9980267286300659,-1.2980268001556396
75,-1.0,-1.2999999523162842
76,-0.9980267286300659,-0.698026716709137
77,-0.9921147227287292,-0.6921147108078003
78,-0.9822872281074524,-0.6822872161865234
79,-0.9685831665992737,-0.6685831546783447
80,-0.9510565400123596,-0.6510565280914307
81,-0.9297764897346497,-0.6297764778137207
82,-0.9048270583152771,-0.6048270463943481
83,-0.8763066530227661,-0.5763066411018372
84,-0.8443279266357422,-0.5443279147148132
85,-0.80901700258255,-0.5090169906616211
86,-0.7705132365226746,-0.4705132246017456
87,-0.728968620300293,-0.428968608379364
88,-0.6845471262931824,-0.3845471143722534
89,-0.6374239921569824,-0.33742398023605347
90,-0.5877852439880371,-0.28778523206710815
91,-0.5358268022537231,-0.2358267903327942
92,-0.4817536771297455,-0.18175366520881653
93,-0.4257792830467224,-0.12577927112579346
94,-0.3681245446205139,-0.06812453269958496
95,-0.30901700258255005,-0.009016990661621094
96,-0.24868988990783691,0.05131012201309204
97,-0.187381312251091,0.11261869966983795
98,-0.12533323466777802,0.17466677725315094
99,-0.06279052048921585,0.2372094988822937
100,-2.4492937051703357e-16,0.30000001192092896
101,0.06279052048921585,0.3627905249595642
102,0.12533323466777802,0.42533326148986816
103,0.187381312251091,0.48738133907318115
104,0.24868988990783691,0.5486899018287659
105,0.30901700258255005,0.609017014503479
106,0.3681245446205139,0.6681245565414429
107,0.4257792830467224,0.7257792949676514
108,0.4817536771297455,0.781753659248352
109,0.5358268022537231,0.8358268141746521
110,0.5877852439880371,0.8877852559089661
