distance_to_wall_m,f_max_N,force_x_N
0.0101,0.25,-0.233448
0.0051,0.25,-0.241653
0.0,0.25,-0.25
0.5,0.5,0.0
0.4949,0.5,0.0
0.4899,0.5,0.0
0.4848,0.5,0.0
0.4798,0.5,0.0
0.4747,0.5,0.0
0.4697,0.5,0.0
0.4646,0.5,0.0
0.4596,0.5,0.0
0.4545,0.5,0.0
0.4495,0.5,0.0
0.4444,0.5,0.0
0.4394,0.5,0.0
0.4343,0.5,0.0
0.4293,0.5,0.0
0.4242,0.5,0.0
0.4192,0.5,0.0
0.4141,0.5,0.0
0.4091,0.5,0.0
0.404,0.5,0.0
0.399,0.5,0.0
0.3939,0.5,0.0
0.3889,0.5,0.0
0.3838,0.5,0.0
0.3788,0.5,0.0
0.3737,0.5,0.0
0.3687,0.5,0.0
0.3636,0.5,0.0
0.3586,0.5,0.0
0.3535,0.5,0.0
0.3485,0.5,0.0
0.3434,0.5,0.0
0.3384,0.5,0.0
0.3333,0.5,0.0
0.3283,0.5,0.0
0.3232,0.5,0.0
0.3182,0.5,0.0
0.3131,0.5,0.0
0.3081,0.5,0.0
0.303,0.5,0.0
0.298,0.5,-2.3e-05
0.2929,0.5,-0.000278
0.2879,0.5,-0.000816
0.2828,0.5,-0.001638
0.2778,0.5,-0.002743
0.2727,0.5,-0.004132
0.2677,0.5,-0.005804
0.2626,0.5,-0.00776
0.2576,0.5,-0.009999
0.2525,0.5,-0.012521
0.2475,0.5,-0.015327
0.2424,0.5,-0.018416
0.2374,0.5,-0.021789
0.2323,0.5,-0.025445
0.2273,0.5,-0.029385
0.2222,0.5,-0.033608
0.2172,0.5,-0.038114
0.2121,0.5,-0.042904
0.2071,0.5,-0.047977
0.202,0.5,-0.053334
0.197,0.5,-0.058974
0.1919,0.5,-0.064897
0.1869,0.5,-0.071104
0.1818,0.5,-0.077594
0.1768,0.5,-0.084368
0.1717,0.5,-0.091425
0.1667,0.5,-0.098765
0.1616,0.5,-0.106389
0.1566,0.5,-0.114297
0.1515,0.5,-0.122488
0.1465,0.5,-0.130962
0.1414,0.5,-0.139719
0.1364,0.5,-0.14876
0.1313,0.5,-0.158085
0.1263,0.5,-0.167693
0.1212,0.5,-0.177584
0.1162,0.5,-0.187759
0.1111,0.5,-0.198217
0.1061,0.5,-0.208958
0.101,0.5,-0.219983
0.096,0.5,-0.231292
0.0909,0.5,-0.242883
0.0859,0.5,-0.254759
0.0808,0.5,-0.266917
0.0758,0.5,-0.279359
0.0707,0.5,-0.292085
0.0657,0.5,-0.305094
0.0606,0.5,-0.318386
0.0556,0.5,-0.331962
0.0505,0.5,-0.345821
0.0455,0.5,-0.359963
0.0404,0.5,-0.374389
0.0354,0.5,-0.389099
0.0303,0.5,-0.404091
0.0253,0.5,-0.419367
0.0202,0.5,-0.434927
0.0152,0.5,-0.45077
0.0101,0.5,-0.466897
0.0051,0.5,-0.483307
0.0,0.5,-0.5
