step,env_id,time_s,wrench_magnitude
0,0,0.0,0.04915968328714371
0,1,0.0,0.07186984270811081
0,2,0.0,0.041605740785598755
0,3,0.0,0.04850538820028305
1,0,0.01,0.046056680381298065
1,1,0.01,0.0428321473300457
1,2,0.01,0.05763368681073189
1,3,0.01,0.041020579636096954
2,0,0.02,0.061520591378211975
2,1,0.02,0.08108911663293839
2,2,0.02,0.07856182754039764
2,3,0.02,0.07226260751485825
3,0,0.03,0.10948571562767029
3,1,0.03,0.06634200364351273
3,2,0.03,0.07190046459436417
3,3,0.03,0.0686621367931366
4,0,0.04,0.10626888275146484
4,1,0.04,0.09816674888134003
4,2,0.04,0.11845617741346359
4,3,0.04,0.062357526272535324
5,0,0.05,0.08170924335718155
5,1,0.05,0.10305172204971313
5,2,0.05,0.11178386211395264
5,3,0.05,0.07736242562532425
6,0,0.06,0.10268548876047134
6,1,0.06,0.16792713105678558
6,2,0.06,0.11269205063581467
6,3,0.06,0.04332441836595535
7,0,0.07,0.09104947745800018
7,1,0.07,0.20113807916641235
7,2,0.07,0.10953100770711899
7,3,0.07,0.06356456875801086
8,0,0.08,0.07409947365522385
8,1,0.08,0.2311457395553589
8,2,0.08,0.10434217751026154
8,3,0.08,0.09499829262495041
9,0,0.09,0.06187267228960991
9,1,0.09,0.17418761551380157
9,2,0.09,0.0898490697145462
9,3,0.09,0.08658061176538467
10,0,0.1,0.08691887557506561
10,1,0.1,0.200410395860672
10,2,0.1,0.06855633109807968
10,3,0.1,0.10230538994073868
11,0,0.11,0.1030624583363533
11,1,0.11,0.19777317345142365
11,2,0.11,0.020867567509412766
11,3,0.11,0.11542951315641403
12,0,0.12,0.13278211653232574
12,1,0.12,0.18054063618183136
12,2,0.12,0.08442123234272003
12,3,0.12,0.1327555626630783
13,0,0.13,0.14487922191619873
13,1,0.13,0.2128317505121231
13,2,0.13,0.08205845952033997
13,3,0.13,0.13982275128364563
14,0,0.14,0.1685885488986969
14,1,0.14,0.18849952518939972
14,2,0.14,0.04581131041049957
14,3,0.14,0.16300524771213531
15,0,0.15,0.1771499216556549
15,1,0.15,0.17458590865135193
15,2,0.15,0.055641598999500275
15,3,0.15,0.16385051608085632
16,0,0.16,0.16519613564014435
16,1,0.16,0.13127979636192322
16,2,0.16,0.0619855597615242
16,3,0.16,0.13425984978675842
17,0,0.17,0.16977347433567047
17,1,0.17,0.1750543862581253
17,2,0.17,0.050333235412836075
17,3,0.17,0.17012439668178558
18,0,0.18,0.17226044833660126
18,1,0.18,0.1665738970041275
18,2,0.18,0.05821505934000015
18,3,0.18,0.18343965709209442
19,0,0.19,0.14709727466106415
19,1,0.19,0.17459675669670105
19,2,0.19,0.04541822522878647
19,3,0.19,0.17172735929489136
20,0,0.2,0.1364181488752365
20,1,0.2,0.18237386643886566
20,2,0.2,0.07555046677589417
20,3,0.2,0.16492755711078644
21,0,0.21,0.18400223553180695
21,1,0.21,0.2112927883863449
21,2,0.21,0.10208555310964584
21,3,0.21,0.13400427997112274
22,0,0.22,0.14720501005649567
22,1,0.22,0.1909327656030655
22,2,0.22,0.06416317820549011
22,3,0.22,0.12715929746627808
23,0,0.23,0.1601918488740921
23,1,0.23,0.208392933011055
23,2,0.23,0.10625939071178436
23,3,0.23,0.16439227759838104
24,0,0.24,0.1602124720811844
24,1,0.24,0.19054660201072693
24,2,0.24,0.11251907050609589
24,3,0.24,0.18452733755111694
25,0,0.25,0.14207424223423004
25,1,0.25,0.1732744574546814
25,2,0.25,0.11820738017559052
25,3,0.25,0.18925981223583221
26,0,0.26,0.14581722021102905
26,1,0.26,0.17701365053653717
26,2,0.26,0.08816105127334595
26,3,0.26,0.2043331414461136
27,0,0.27,0.10811194777488708
27,1,0.27,0.19155341386795044
27,2,0.27,0.09878300875425339
27,3,0.27,0.16188210248947144
28,0,0.28,0.06714976578950882
28,1,0.28,0.22615407407283783
28,2,0.28,0.08580920100212097
28,3,0.28,0.1878701001405716
29,0,0.29,0.10095597803592682
29,1,0.29,0.21038591861724854
29,2,0.29,0.07575934380292892
29,3,0.29,0.17645834386348724
30,0,0.3,0.1084938794374466
30,1,0.3,0.2007763534784317
30,2,0.3,0.05783237889409065
30,3,0.3,0.1520361453294754
31,0,0.31,0.1444610208272934
31,1,0.31,0.21634729206562042
31,2,0.31,0.057545412331819534
31,3,0.31,0.19851107895374298
32,0,0.32,0.15035594999790192
32,1,0.32,0.25997665524482727
32,2,0.32,0.04926071688532829
32,3,0.32,0.23807230591773987
33,0,0.33,0.13999472558498383
33,1,0.33,0.29309535026550293
33,2,0.33,0.05886866897344589
33,3,0.33,0.2237246185541153
34,0,0.34,0.16060124337673187
34,1,0.34,0.3325560986995697
