altitude_m,diameter_m,delta_Fz_N
0.119,0.15,0.006756
0.124,0.15,0.006214
0.129,0.15,0.005736
0.134,0.15,0.005311
0.139,0.15,0.004931
0.144,0.15,0.004592
0.149,0.15,0.004286
0.154,0.15,0.00401
0.158,0.15,0.00376
0.163,0.15,0.003533
0.168,0.15,0.003325
0.173,0.15,0.003136
0.178,0.15,0.002962
0.183,0.15,0.002803
0.188,0.15,0.002656
0.193,0.15,0.00252
0.198,0.15,0.002395
0.203,0.15,0.002278
0.208,0.15,0.00217
0.213,0.15,0.00207
0.218,0.15,0.001976
0.223,0.15,0.001889
0.228,0.15,0.001807
0.233,0.15,0.00173
0.238,0.15,0.001659
0.243,0.15,0.001591
0.248,0.15,0.001528
0.253,0.15,0.001468
0.257,0.15,0.001412
0.262,0.15,0.001359
0.267,0.15,0.001309
0.272,0.15,0.001262
0.277,0.15,0.001217
0.282,0.15,0.001174
0.287,0.15,0.001134
0.292,0.15,0.001096
0.297,0.15,0.001059
0.302,0.15,0.001025
0.307,0.15,0.000992
0.312,0.15,0.000961
0.317,0.15,0.000931
0.322,0.15,0.000902
0.327,0.15,0.000875
0.332,0.15,0.000849
0.337,0.15,0.000824
0.342,0.15,0.0008
0.347,0.15,0.000778
0.352,0.15,0.000756
0.356,0.15,0.000735
0.361,0.15,0.000715
0.366,0.15,0.000696
0.371,0.15,0.000677
0.376,0.15,0.000659
0.381,0.15,0.000642
0.386,0.15,0.000626
0.391,0.15,0.00061
0.396,0.15,0.000595
0.401,0.15,0.00058
0.406,0.15,0.000566
0.411,0.15,0.000553
0.416,0.15,0.00054
0.421,0.15,0.000527
0.426,0.15,0.000515
0.431,0.15,0.000503
0.436,0.15,0.000492
0.441,0.15,0.000481
0.446,0.15,0.00047
0.451,0.15,0.0
0.455,0.15,0.0
0.46,0.15,0.0
0.465,0.15,0.0
0.47,0.15,0.0
0.475,0.15,0.0
0.48,0.15,0.0
0.485,0.15,0.0
0.49,0.15,0.0
0.495,0.15,0.0
0.5,0.15,0.0
