step,env_id,time_s,warmup_factor
17,2,0.17,1.122403860092163
17,3,0.17,1.0870589017868042
17,4,0.17,1.115309476852417
17,5,0.17,1.1535203456878662
17,6,0.17,1.012966275215149
17,7,0.17,1.0936470031738281
18,0,0.18,1.1911449432373047
18,1,0.18,1.0050164461135864
18,2,0.18,1.1199800968170166
18,3,0.18,1.0853350162506104
18,4,0.18,1.1130261421203613
18,5,0.18,1.1504803895950317
18,6,0.18,1.0127094984054565
18,7,0.18,1.0917927026748657
19,0,0.19,1.1873600482940674
19,1,0.19,1.0049171447753906
19,2,0.19,1.117604374885559
19,3,0.19,1.083645224571228
19,4,0.19,1.110788106918335
19,5,0.19,1.1475006341934204
19,6,0.19,1.0124578475952148
19,7,0.19,1.089975118637085
20,0,0.2,1.183650016784668
20,1,0.2,1.0048197507858276
20,2,0.2,1.1152756214141846
20,3,0.2,1.0819889307022095
20,4,0.2,1.1085944175720215
20,5,0.2,1.1445798873901367
20,6,0.2,1.0122112035751343
20,7,0.2,1.0881935358047485
21,0,0.21,1.1800135374069214
21,1,0.21,1.0047242641448975
21,2,0.21,1.1129930019378662
21,3,0.21,1.0803654193878174
21,4,0.21,1.1064441204071045
21,5,0.21,1.1417169570922852
21,6,0.21,1.0119694471359253
21,7,0.21,1.0864472389221191
22,0,0.22,1.1764490604400635
22,1,0.22,1.0046306848526
22,2,0.22,1.1107555627822876
22,3,0.22,1.078774094581604
22,4,0.22,1.1043363809585571
22,5,0.22,1.1389107704162598
22,6,0.22,1.0117324590682983
22,7,0.22,1.0847355127334595
23,0,0.23,1.1729551553726196
23,1,0.23,1.0045390129089355
23,2,0.23,1.1085624694824219
23,3,0.23,1.077214241027832
23,4,0.23,1.1022703647613525
23,5,0.23,1.136160135269165
23,6,0.23,1.0115001201629639
23,7,0.23,1.0830576419830322
24,0,0.24,1.1695303916931152
24,1,0.24,1.0044491291046143
24,2,0.24,1.1064127683639526
24,3,0.24,1.0756852626800537
24,4,0.24,1.1002452373504639
24,5,0.24,1.133463978767395
24,6,0.24,1.0112724304199219
24,7,0.24,1.0814130306243896
25,0,0.25,1.1661734580993652
25,1,0.25,1.0043610334396362
