env_id,f_max_N
0,0.2298
1,0.4376
2,0.3216
3,0.2055
4,0.1271
5,0.2438
6,0.199
7,0.4171
8,0.3134
9,0.4621
10,0.2848
11,0.0245
12,0.0577
13,0.2839
14,0.0302
15,0.2587
