n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.0001694020800641738,0.00020413583988556638,20.503738683866544
1,1,0.0001723024999955669,0.00019006749993423,10.310355299035221
1,2,0.00016156833997229113,0.00019011833996046334,17.670541142570702
1,3,0.0001734920800663531,0.00020064584008650855,15.651296595078193
1,4,0.00016879083006642758,0.00019335583987412975,14.553521537890783
4,0,0.00016884000011486934,0.00021310333017027005,26.21613955536982
4,1,0.00016608207981334998,0.00019291625008918345,16.157173793819798
4,2,0.00016765084001235664,0.00019506000011460856,16.348954827921975
4,3,0.00016977999999653548,0.00018937874992843717,11.543615226941704
4,4,0.00016274416993837803,0.00018643624993273987,14.557867113355083
16,0,0.00017662917001871393,0.0002164212500792928,22.528600489014863
16,1,0.000179314169799909,0.00021047000016551464,17.374996298603424
16,2,0.00019084250001469627,0.00022160749998874962,16.120623012004252
16,3,0.00019515874999342486,0.00020858459000010045,6.8794455832126
16,4,0.00018282874982105567,0.0002030608299537562,11.066137110548938
64,0,0.0002240795799298212,0.00024548082990804687,9.550736387906591
64,1,0.00022676082997350022,0.0002568579200305976,13.272614172656972
64,2,0.00021924125001532958,0.00026276916003553196,19.85388699305394
64,3,0.00022107208002125845,0.0002612745898659341,18.185249734299227
64,4,0.00022910500003490598,0.00025447499996516853,11.073525207392782
128,0,0.0002989237499423325,0.00035069290985120463,17.318516818706872
128,1,0.0002861220799968578,0.00033935500017832963,18.604967565612704
128,2,0.00028780249995179473,0.0003200491701136343,11.204444077880044
128,3,0.0002992050000466406,0.0003197208300116472,6.856780455476525
128,4,0.00029612249985802916,0.00031165124994004146,5.244029106014331
