step,env_id,time_s,theta_x_rad,theta_dot_x_rads
66,2,0.66,-0.046132586896419525,-0.11154739558696747
66,3,0.66,-0.03832373395562172,-0.14339818060398102
67,0,0.67,0.002302333479747176,0.009973288513720036
67,1,0.67,0.04592587798833847,0.15780557692050934
67,2,0.67,-0.04717995598912239,-0.10473695397377014
67,3,0.67,-0.03971236199140549,-0.13886277377605438
68,0,0.68,0.0023996515665203333,0.009731799364089966
68,1,0.68,0.047449056059122086,0.1523178219795227
68,2,0.68,-0.04815767705440521,-0.09777200222015381
68,3,0.68,-0.04105399176478386,-0.13416311144828796
69,0,0.69,0.0024944525212049484,0.009480101987719536
69,1,0.69,0.04891553893685341,0.14664819836616516
69,2,0.69,-0.04906430467963219,-0.09066282957792282
69,3,0.69,-0.04234704002737999,-0.12930476665496826
70,0,0.7,0.002586637157946825,0.009218461811542511
70,1,0.7,0.050323572009801865,0.1408034712076187
70,2,0.7,-0.049898505210876465,-0.08341992646455765
70,3,0.7,-0.04358997568488121,-0.1242934912443161
71,0,0.71,0.002676108619198203,0.008947151713073254
71,1,0.71,0.051671478897333145,0.13479064404964447
71,2,0.71,-0.050659045577049255,-0.07605397701263428
71,3,0.71,-0.04478132724761963,-0.11913522332906723
72,0,0.72,0.00276277307420969,0.00866645760834217
72,1,0.72,0.052957646548748016,0.12861691415309906
72,2,0.72,-0.05134480446577072,-0.06857585161924362
72,3,0.72,-0.04591968655586243,-0.11383607238531113
73,0,0.73,0.002846539719030261,0.008376672863960266
73,1,0.73,0.05418054386973381,0.12228965014219284
73,2,0.73,-0.05195476859807968,-0.060996584594249725
73,3,0.73,-0.04700370877981186,-0.1084023043513298
74,0,0.74,0.0029273207765072584,0.008078102022409439
74,1,0.74,0.05533870682120323,0.11581642180681229
74,2,0.74,-0.052488043904304504,-0.05332735925912857
74,3,0.74,-0.048032112419605255,-0.102840356528759
75,0,0.75,0.0030050312634557486,0.007771058473736048
75,1,0.75,0.05643075704574585,0.109204962849617
75,2,0.75,-0.052943840622901917,-0.04557948559522629
75,3,0.75,-0.04900367930531502,-0.09715680778026581
76,0,0.76,0.0030795899219810963,0.007455863989889622
76,1,0.76,0.057455386966466904,0.10246317088603973
76,2,0.76,-0.053321484476327896,-0.03776439651846886
76,3,0.76,-0.04991726204752922,-0.09135838598012924
77,0,0.77,0.003150918520987034,0.0071328491903841496
77,1,0.77,0.0584113784134388,0.09559909254312515
77,2,0.77,-0.05362042039632797,-0.02989361435174942
77,3,0.77,-0.05077178031206131,-0.08545195311307907
78,0,0.78,0.0032189420890063047,0.006802353076636791
78,1,0.78,0.0592975877225399,0.08862093836069107
78,2,0.78,-0.05384020879864693,-0.021978747099637985
78,3,0.78,-0.0515662245452404,-0.07944449782371521
79,0,0.79,0.003283589379861951,0.006464721634984016
79,1,0.79,0.060112956911325455,0.08153703063726425
79,2,0.79,-0.053980521857738495,-0.014031469821929932
79,3,0.79,-0.052299655973911285,-0.07334312796592712
80,0,0.8,0.0033447924070060253,0.006120309699326754
80,1,0.8,0.06085651367902756,0.0743558332324028
80,2,0.8,-0.05404115840792656,-0.006063501350581646
80,3,0.8,-0.05297120660543442,-0.06715505570173264
81,0,0.81,0.0034024871420115232,0.005769478157162666
81,1,0.81,0.061527371406555176,0.06708592176437378
81,2,0.81,-0.05402202531695366,0.001913408748805523
81,3,0.81,-0.05358008295297623,-0.060887597501277924
82,0,0.82,0.0034566130489110947,0.005412595346570015
82,1,0.82,0.06212473288178444,0.059735968708992004
82,2,0.82,-0.05392314866185188,0.009887497872114182
82,3,0.82,-0.05412556603550911,-0.05454816669225693
83,0,0.83,0.003507113317027688,0.005050035193562508
83,1,0.83,0.06264787912368774,0.052314747124910355
83,2,0.83,-0.05374467745423317,0.017847005277872086
83,3,0.83,-0.05460700765252113,-0.04814425855875015
84,0,0.84,0.003553935093805194,0.004682178143411875
84,1,0.84,0.06309618800878525,0.04483111575245857
84,2,0.84,-0.05348687618970871,0.025780195370316505
84,3,0.84,-0.05502384155988693,-0.041683442890644073
85,0,0.85,0.0035970292519778013,0.0043094102293252945
85,1,0.85,0.06346912682056427,0.03729400038719177
85,2,0.85,-0.05315012112259865,0.03367536514997482
85,3,0.85,-0.05537557601928711,-0.035173360258340836
86,0,0.86,0.003636350389569998,0.003932122141122818
86,1,0.86,0.063766248524189,0.02971239574253559
86,2,0.86,-0.05273491144180298,0.04152087867259979
86,3,0.86,-0.05566179379820824,-0.02862170711159706
87,0,0.87,0.0036718575283885,0.003550709690898657
87,1,0.87,0.06398720294237137,0.022095346823334694
87,2,0.87,-0.05224185809493065,0.049305155873298645
87,3,0.87,-0.055882155895233154,-0.022036224603652954
88,0,0.88,0.0037035131826996803,0.0031655728816986084
88,1,0.88,0.0641317218542099,0.01445193961262703
88,2,0.88,-0.05167169123888016,0.05701671913266182
88,3,0.88,-0.05603640154004097,-0.015424697659909725
89,0,0.89,0.0037312842905521393,0.002777115674689412
89,1,0.89,0.06419963389635086,0.00679129408672452
89,2,0.89,-0.05102524906396866,0.06464419513940811
89,3,0.89,-0.05612435191869736,-0.008794941008090973
90,0,0.9,0.0037551417481154203,0.002385745756328106
90,1,0.9,0.06419085711240768,-0.0008774525485932827
90,2,0.9,-0.05030348524451256,0.07217632979154587
90,3,0.9,-0.05614589899778366,-0.00215478939935565
91,0,0.91,0.003775060409680009,0.001991873374208808
91,1,0.91,0.06410540640354156,-0.008545152842998505
91,2,0.91,-0.049507465213537216,0.07960201054811478
91,3,0.91,-0.05610102042555809,0.004487908910959959
92,0,0.92,0.0037910195533186197,0.0015959118027240038
92,1,0.92,0.06394337862730026,-0.016202658414840698
92,2,0.92,-0.04863836243748665,0.08691028505563736
92,3,0.92,-0.055989768356084824,0.01112530380487442
93,0,0.93,0.0038030024152249098,0.0011982762953266501
93,1,0.93,0.0637049674987793,-0.02384083718061447
93,2,0.93,-0.047697458416223526,0.09409036487340927
93,3,0.93,-0.05581227317452431,0.017749549821019173
94,0,0.94,0.003810996189713478,0.0007993838516995311
94,1,0.94,0.06339046359062195,-0.031450577080249786
94,2,0.94,-0.046686142683029175,0.10113164782524109
94,3,0.94,-0.055568743497133255,0.024352816864848137
95,0,0.95,0.0038149927277117968,0.00039965298492461443
95,1,0.95,0.06300023198127747,-0.03902279585599899
95,2,0.95,-0.04560590535402298,0.1080237478017807
95,3,0.95,-0.05525946989655495,0.030927300453186035
96,0,0.96,0.00381498783826828,-4.970643203705549e-07
96,1,0.96,0.06253474950790405,-0.04654846340417862
96,2,0.96,-0.04445834085345268,0.11475648730993271
96,3,0.96,-0.05488481745123863,0.037465233355760574
97,0,0.97,0.0038109812885522842,-0.0004006466188002378
97,1,0.97,0.06199456378817558,-0.054018598049879074
97,2,0.97,-0.043245140463113785,0.12131992727518082
97,3,0.97,-0.05444522947072983,0.0439588837325573
98,0,0.98,0.003802977502346039,-0.0008003759430721402
98,1,0.98,0.06138031929731369,-0.061424288898706436
98,2,0.98,-0.04196809604763985,0.12770438194274902
98,3,0.98,-0.05394122377038002,0.05040057748556137
99,0,0.99,0.0037909848615527153,-0.0011992657091468573
99,1,0.99,0.06069275364279747,-0.06875669956207275
99,2,0.99,-0.04062909260392189,0.13390040397644043
99,3,0.99,-0.05337339639663696,0.05678269639611244
100,0,1.0,0.003775015939027071,-0.0015968976076692343
100,1,1.0,0.059932682663202286,-0.07600707560777664
100,2,1.0,-0.0392301045358181,0.1398988515138626
100,3,1.0,-0.05274241790175438,0.06309769302606583
101,0,1.01,0.003755087498575449,-0.0019928545225411654
101,1,1.01,0.05910101532936096,-0.08316676318645477
101,2,1.01,-0.037773195654153824,0.14569085836410522
101,3,1.01,-0.05204903706908226,0.0693381056189537
102,0,1.02,0.0037312202621251345,-0.0023867213167250156
102,1,1.02,0.05819874256849289,-0.09022720903158188
102,2,1.02,-0.036260515451431274,0.151267871260643
102,3,1.02,-0.05129406973719597,0.07549655437469482
103,0,1.03,0.003703439375385642,-0.0027780847158282995
103,1,1.03,0.057226940989494324,-0.09717999398708344
103,2,1.03,-0.03469429910182953,0.15662164986133575
103,3,1.03,-0.050478413701057434,0.0815657526254654
104,0,1.04,0.0036717739421874285,-0.0031665342394262552
104,1,1.04,0.056186772882938385,-0.10401681065559387
104,2,1.04,-0.03307685628533363,0.16174426674842834
104,3,1.04,-0.04960303008556366,0.08753852546215057
105,0,1.05,0.0036362572573125362,-0.0035516624338924885
105,1,1.05,0.05507947877049446,-0.11072948575019836
105,2,1.05,-0.0314105749130249,0.1666281670331955
105,3,1.05,-0.04866895079612732,0.09340780228376389
106,0,1.06,0.00359692657366395,-0.003933065105229616
106,1,1.06,0.05390637740492821,-0.11731000989675522
106,2,1.06,-0.02969791367650032,0.171266108751297
106,3,1.06,-0.047677285969257355,0.09916664659976959
107,0,1.07,0.0035538231022655964,-0.004310342483222485
107,1,1.07,0.052668873220682144,-0.12375051528215408
107,2,1.07,-0.027941402047872543,0.17565125226974487
107,3,1.07,-0.04662920534610748,0.10480824112892151
108,0,1.08,0.0035069920122623444,-0.004683098755776882
108,1,1.08,0.05136844143271446,-0.13004331290721893
108,2,1.08,-0.02614363096654415,0.1797771006822586
108,3,1.08,-0.04552594572305679,0.1103259027004242
109,0,1.09,0.0034564826637506485,-0.005050943233072758
109,1,1.09,0.05000663176178932,-0.13618087768554688
109,2,1.09,-0.0243072547018528,0.18363754451274872
109,3,1.09,-0.044368814677000046,0.11571311205625534
110,0,1.1,0.0034023476764559746,-0.005413489881902933
110,1,1.1,0.04858507215976715,-0.14215585589408875
110,2,1.1,-0.022434985265135765,0.18722689151763916
110,3,1.1,-0.043159179389476776,0.12096348404884338
111,0,1.11,0.003344644093886018,-0.005770358256995678
111,1,1.11,0.04710546135902405,-0.14796112477779388
111,2,1.11,-0.02052958682179451,0.19053980708122253
111,3,1.11,-0.041898470371961594,0.1260707974433899
112,0,1.12,0.003283432452008128,-0.006121174432337284
112,1,1.12,0.045569565147161484,-0.15358972549438477
112,2,1.12,-0.01859387196600437,0.19357140362262726
112,3,1.12,-0.04058818146586418,0.13102900981903076
113,0,1.13,0.0032187767792493105,-0.006465570069849491
113,1,1.13,0.0439792163670063,-0.15903493762016296
113,2,1.13,-0.01663069985806942,0.1963171809911728
113,3,1.13,-0.0392298586666584,0.1358322650194168
114,0,1.14,0.003150744829326868,-0.006803183816373348
114,1,1.14,0.04233631491661072,-0.16429023444652557
114,2,1.14,-0.014642968773841858,0.1987730860710144
114,3,1.14,-0.03782511129975319,0.1404748558998108
115,0,1.15,0.0030794083140790462,-0.0071336617693305016
115,1,1.15,0.04064282029867172,-0.16934934258460999
115,2,1.15,-0.012633614242076874,0.2009354829788208
