n_envs,round,baseline_s_per_step,perturbed_s_per_step,overhead_pct
1,0,0.0001847312500467524,0.0001971758299623616,6.736586209674697
1,1,0.00019717250019311904,0.0001943308298359625,-1.4412102876279846
1,2,0.00018964624992804603,0.00019622624997282402,3.469617800127616
1,3,0.00018538667005486788,0.0001896362501429394,2.2922792058424695
1,4,0.00018408875010209158,0.00019267958006821573,4.666678415362079
4,0,0.00017021625011693687,0.00020874083013040944,22.632727478725776
4,1,0.00016845749982167036,0.00020495499979006126,21.66570203584125
4,2,0.0001638637500582263,0.00022860041004605592,39.50639477299068
4,3,0.0001700070800143294,0.00021711957990191877,27.712081098986225
4,4,0.00016889082995476202,0.00021461083000758662,27.07074153467708
16,0,0.00017743333999533205,0.0001987020898377523,11.986895948066909
16,1,0.00018240541976410896,0.00019529167009750382,7.064620311205486
16,2,0.0001826775001245551,0.00020400167006300762,11.673123358877287
16,3,0.00016717708000214772,0.00019842208013869821,18.689763056125333
16,4,0.00016920416004722938,0.0002004695901996456,18.47793230597239
64,0,0.00024085917015327142,0.000263975000125356,9.597238899965802
64,1,0.00022680708003463223,0.0002531304198782891,11.606048558818111
64,2,0.0002342120898538269,0.00025094499986153093,7.144340848564705
64,3,0.00021863750007469207,0.0002515129200764932,15.036496479592962
64,4,0.00023435207986040042,0.00025621207983931525,9.32784551856184
128,0,0.0002865958301117644,0.00031205999985104425,8.885045441641475
128,1,0.00028230124997207894,0.000305753750144504,8.307614711144433
128,2,0.00028359875024762003,0.00030297749995952474,6.833157654955972
128,3,0.00027185958024347203,0.0002966187498532236,9.107337540791363
128,4,0.0002739854098763317,0.00032006208988605067,16.817202065802164
