step,env_id,time_s,cumulative_drop_rate
27,4,0.27,0.142857
27,5,0.27,0.071429
27,6,0.27,0.071429
27,7,0.27,0.071429
28,0,0.28,0.068966
28,1,0.28,0.137931
28,2,0.28,0.172414
28,3,0.28,0.137931
28,4,0.28,0.137931
28,5,0.28,0.068966
28,6,0.28,0.068966
28,7,0.28,0.068966
29,0,0.29,0.066667
29,1,0.29,0.133333
29,2,0.29,0.166667
29,3,0.29,0.133333
29,4,0.29,0.133333
29,5,0.29,0.066667
29,6,0.29,0.066667
29,7,0.29,0.066667
30,0,0.3,0.096774
30,1,0.3,0.16129
30,2,0.3,0.193548
30,3,0.3,0.129032
30,4,0.3,0.129032
30,5,0.3,0.064516
30,6,0.3,0.064516
30,7,0.3,0.064516
31,0,0.31,0.125
31,1,0.31,0.15625
31,2,0.31,0.21875
31,3,0.31,0.125
31,4,0.31,0.125
31,5,0.31,0.09375
31,6,0.31,0.0625
31,7,0.31,0.09375
32,0,0.32,0.151515
32,1,0.32,0.151515
32,2,0.32,0.212121
32,3,0.32,0.121212
32,4,0.32,0.121212
32,5,0.32,0.090909
32,6,0.32,0.060606
32,7,0.32,0.121212
33,0,0.33,0.147059
33,1,0.33,0.176471
33,2,0.33,0.205882
33,3,0.33,0.147059
33,4,0.33,0.117647
33,5,0.33,0.088235
33,6,0.33,0.058824
33,7,0.33,0.147059
34,0,0.34,0.142857
34,1,0.34,0.171429
34,2,0.34,0.2
34,3,0.34,0.142857
34,4,0.34,0.114286
34,5,0.34,0.085714
34,6,0.34,0.057143
34,7,0.34,0.142857
35,0,0.35,0.138889
35,1,0.35,0.166667
35,2,0.35,0.222222
35,3,0.35,0.138889
35,4,0.35,0.111111
35,5,0.35,0.083333
35,6,0.35,0.055556
35,7,0.35,0.138889
36,0,0.36,0.135135
36,1,0.36,0.162162
36,2,0.36,0.243243
36,3,0.36,0.135135
36,4,0.36,0.108108
36,5,0.36,0.081081
36,6,0.36,0.054054
36,7,0.36,0.135135
37,0,0.37,0.131579
37,1,0.37,0.157895
37,2,0.37,0.263158
37,3,0.37,0.131579
37,4,0.37,0.105263
37,5,0.37,0.105263
37,6,0.37,0.052632
37,7,0.37,0.131579
38,0,0.38,0.128205
38,1,0.38,0.153846
38,2,0.38,0.25641
38,3,0.38,0.128205
38,4,0.38,0.102564
38,5,0.38,0.102564
38,6,0.38,0.051282
38,7,0.38,0.128205
39,0,0.39,0.125
39,1,0.39,0.15
39,2,0.39,0.25
39,3,0.39,0.125
39,4,0.39,0.125
39,5,0.39,0.1
39,6,0.39,0.05
39,7,0.39,0.15
40,0,0.4,0.121951
40,1,0.4,0.146341
40,2,0.4,0.243902
40,3,0.4,0.121951
40,4,0.4,0.121951
40,5,0.4,0.097561
40,6,0.4,0.04878
40,7,0.4,0.146341
41,0,0.41,0.119048
41,1,0.41,0.142857
41,2,0.41,0.238095
41,3,0.41,0.119048
41,4,0.41,0.119048
41,5,0.41,0.095238
41,6,0.41,0.047619
41,7,0.41,0.142857
42,0,0.42,0.116279
42,1,0.42,0.139535
42,2,0.42,0.232558
42,3,0.42,0.116279
42,4,0.42,0.116279
42,5,0.42,0.093023
42,6,0.42,0.046512
42,7,0.42,0.139535
43,0,0.43,0.113636
43,1,0.43,0.136364
43,2,0.43,0.227273
43,3,0.43,0.113636
43,4,0.43,0.113636
43,5,0.43,0.113636
43,6,0.43,0.068182
43,7,0.43,0.136364
44,0,0.44,0.133333
44,1,0.44,0.155556
44,2,0.44,0.222222
44,3,0.44,0.133333
44,4,0.44,0.111111
44,5,0.44,0.133333
44,6,0.44,0.066667
44,7,0.44,0.133333
45,0,0.45,0.130435
45,1,0.45,0.173913
45,2,0.45,0.217391
45,3,0.45,0.130435
45,4,0.45,0.108696
45,5,0.45,0.130435
45,6,0.45,0.065217
45,7,0.45,0.130435
46,0,0.46,0.12766
46,1,0.46,0.170213
46,2,0.46,0.212766
46,3,0.46,0.12766
46,4,0.46,0.12766
46,5,0.46,0.12766
46,6,0.46,0.085106
46,7,0.46,0.12766
47,0,0.47,0.125
47,1,0.47,0.166667
47,2,0.47,0.208333
47,3,0.47,0.125
47,4,0.47,0.125
47,5,0.47,0.125
47,6,0.47,0.083333
47,7,0.47,0.125
48,0,0.48,0.122449
48,1,0.48,0.163265
48,2,0.48,0.204082
48,3,0.48,0.122449
48,4,0.48,0.122449
48,5,0.48,0.122449
48,6,0.48,0.081633
48,7,0.48,0.122449
49,0,0.49,0.12
49,1,0.49,0.16
49,2,0.49,0.22
49,3,0.49,0.12
49,4,0.49,0.12
49,5,0.49,0.12
49,6,0.49,0.1
49,7,0.49,0.12
50,0,0.5,0.117647
50,1,0.5,0.156863
50,2,0.5,0.215686
50,3,0.5,0.117647
50,4,0.5,0.117647
50,5,0.5,0.117647
50,6,0.5,0.098039
50,7,0.5,0.117647
51,0,0.51,0.115385
51,1,0.51,0.153846
51,2,0.51,0.230769
51,3,0.51,0.134615
51,4,0.51,0.115385
51,5,0.51,0.115385
51,6,0.51,0.096154
51,7,0.51,0.115385
52,0,0.52,0.113208
52,1,0.52,0.169811
52,2,0.52,0.226415
52,3,0.52,0.132075
52,4,0.52,0.113208
52,5,0.52,0.113208
52,6,0.52,0.09434
52,7,0.52,0.113208
53,0,0.53,0.111111
53,1,0.53,0.166667
53,2,0.53,0.222222
53,3,0.53,0.12963
53,4,0.53,0.111111
53,5,0.53,0.12963
53,6,0.53,0.092593
53,7,0.53,0.111111
54,0,0.54,0.109091
54,1,0.54,0.163636
54,2,0.54,0.218182
54,3,0.54,0.127273
54,4,0.54,0.127273
54,5,0.54,0.127273
54,6,0.54,0.090909
54,7,0.54,0.109091
55,0,0.55,0.107143
55,1,0.55,0.160714
55,2,0.55,0.214286
55,3,0.55,0.125
55,4,0.55,0.125
55,5,0.55,0.125
55,6,0.55,0.107143
55,7,0.55,0.107143
56,0,0.56,0.105263
56,1,0.56,0.175439
56,2,0.56,0.210526
56,3,0.56,0.140351
56,4,0.56,0.122807
56,5,0.56,0.122807
56,6,0.56,0.105263
56,7,0.56,0.105263
57,0,0.57,0.103448
57,1,0.57,0.172414
57,2,0.57,0.206897
57,3,0.57,0.137931
57,4,0.57,0.137931
57,5,0.57,0.137931
57,6,0.57,0.103448
57,7,0.57,0.103448
58,0,0.58,0.101695
58,1,0.58,0.169492
58,2,0.58,0.220339
58,3,0.58,0.135593
58,4,0.58,0.152542
