step,env_id,threshold,input_action,output_action
0,0,0.009999999776482582,-0.20000000298023224,-0.20000000298023224
0,1,0.019999999552965164,-0.20000000298023224,-0.20000000298023224
0,2,0.03500000014901161,-0.20000000298023224,-0.20000000298023224
0,3,0.05000000074505806,-0.20000000298023224,-0.20000000298023224
1,0,0.009999999776482582,-0.19899749755859375,-0.19899749755859375
1,1,0.019999999552965164,-0.19899749755859375,-0.19899749755859375
1,2,0.03500000014901161,-0.19899749755859375,-0.19899749755859375
1,3,0.05000000074505806,-0.19899749755859375,-0.19899749755859375
2,0,0.009999999776482582,-0.19799499213695526,-0.19799499213695526
2,1,0.019999999552965164,-0.19799499213695526,-0.19799499213695526
2,2,0.03500000014901161,-0.19799499213695526,-0.19799499213695526
2,3,0.05000000074505806,-0.19799499213695526,-0.19799499213695526
3,0,0.009999999776482582,-0.19699248671531677,-0.19699248671531677
3,1,0.019999999552965164,-0.19699248671531677,-0.19699248671531677
3,2,0.03500000014901161,-0.19699248671531677,-0.19699248671531677
3,3,0.05000000074505806,-0.19699248671531677,-0.19699248671531677
4,0,0.009999999776482582,-0.19598998129367828,-0.19598998129367828
4,1,0.019999999552965164,-0.19598998129367828,-0.19598998129367828
4,2,0.03500000014901161,-0.19598998129367828,-0.19598998129367828
4,3,0.05000000074505806,-0.19598998129367828,-0.19598998129367828
5,0,0.009999999776482582,-0.1949874758720398,-0.1949874758720398
5,1,0.019999999552965164,-0.1949874758720398,-0.1949874758720398
5,2,0.03500000014901161,-0.1949874758720398,-0.1949874758720398
5,3,0.05000000074505806,-0.1949874758720398,-0.1949874758720398
6,0,0.009999999776482582,-0.1939849704504013,-0.1939849704504013
6,1,0.019999999552965164,-0.1939849704504013,-0.1939849704504013
6,2,0.03500000014901161,-0.1939849704504013,-0.1939849704504013
6,3,0.05000000074505806,-0.1939849704504013,-0.1939849704504013
7,0,0.009999999776482582,-0.19298246502876282,-0.19298246502876282
7,1,0.019999999552965164,-0.19298246502876282,-0.19298246502876282
7,2,0.03500000014901161,-0.19298246502876282,-0.19298246502876282
7,3,0.05000000074505806,-0.19298246502876282,-0.19298246502876282
8,0,0.009999999776482582,-0.19197995960712433,-0.19197995960712433
8,1,0.019999999552965164,-0.19197995960712433,-0.19197995960712433
8,2,0.03500000014901161,-0.19197995960712433,-0.19197995960712433
8,3,0.05000000074505806,-0.19197995960712433,-0.19197995960712433
9,0,0.009999999776482582,-0.19097745418548584,-0.19097745418548584
9,1,0.019999999552965164,-0.19097745418548584,-0.19097745418548584
9,2,0.03500000014901161,-0.19097745418548584,-0.19097745418548584
9,3,0.05000000074505806,-0.19097745418548584,-0.19097745418548584
10,0,0.009999999776482582,-0.18997493386268616,-0.18997493386268616
10,1,0.019999999552965164,-0.18997493386268616,-0.18997493386268616
10,2,0.03500000014901161,-0.18997493386268616,-0.18997493386268616
10,3,0.05000000074505806,-0.18997493386268616,-0.18997493386268616
11,0,0.009999999776482582,-0.18897242844104767,-0.18897242844104767
11,1,0.019999999552965164,-0.18897242844104767,-0.18897242844104767
11,2,0.03500000014901161,-0.18897242844104767,-0.18897242844104767
11,3,0.05000000074505806,-0.18897242844104767,-0.18897242844104767
12,0,0.009999999776482582,-0.18796992301940918,-0.18796992301940918
12,1,0.019999999552965164,-0.18796992301940918,-0.18796992301940918
12,2,0.03500000014901161,-0.18796992301940918,-0.18796992301940918
12,3,0.05000000074505806,-0.18796992301940918,-0.18796992301940918
13,0,0.009999999776482582,-0.1869674175977707,-0.1869674175977707
13,1,0.019999999552965164,-0.1869674175977707,-0.1869674175977707
13,2,0.03500000014901161,-0.1869674175977707,-0.1869674175977707
13,3,0.05000000074505806,-0.1869674175977707,-0.1869674175977707
14,0,0.009999999776482582,-0.1859649121761322,-0.1859649121761322
14,1,0.019999999552965164,-0.1859649121761322,-0.1859649121761322
14,2,0.03500000014901161,-0.1859649121761322,-0.1859649121761322
14,3,0.05000000074505806,-0.1859649121761322,-0.1859649121761322
15,0,0.009999999776482582,-0.1849624067544937,-0.1849624067544937
15,1,0.019999999552965164,-0.1849624067544937,-0.1849624067544937
15,2,0.03500000014901161,-0.1849624067544937,-0.1849624067544937
15,3,0.05000000074505806,-0.1849624067544937,-0.1849624067544937
16,0,0.009999999776482582,-0.18395990133285522,-0.18395990133285522
