step,env_id,time_s,force_magnitude_N,active
25,1,0.25,0.0,0
25,2,0.25,0.0,0
25,3,0.25,0.0,0
25,4,0.25,0.0,0
25,5,0.25,0.0,0
25,6,0.25,3.33467173576355,1
25,7,0.25,0.0,0
26,0,0.26,0.0,0
26,1,0.26,0.0,0
26,2,0.26,0.0,0
26,3,0.26,0.0,0
26,4,0.26,0.0,0
26,5,0.26,0.0,0
26,6,0.26,3.33467173576355,1
26,7,0.26,0.0,0
27,0,0.27,0.0,0
27,1,0.27,0.0,0
27,2,0.27,0.0,0
27,3,0.27,0.0,0
27,4,0.27,0.0,0
27,5,0.27,0.0,0
27,6,0.27,3.33467173576355,1
27,7,0.27,0.0,0
28,0,0.28,0.0,0
28,1,0.28,9.184727668762207,1
28,2,0.28,0.0,0
28,3,0.28,0.0,0
28,4,0.28,0.0,0
28,5,0.28,0.0,0
28,6,0.28,3.33467173576355,1
28,7,0.28,0.0,0
29,0,0.29,0.0,0
29,1,0.29,9.184727668762207,1
29,2,0.29,0.0,0
29,3,0.29,0.0,0
29,4,0.29,0.0,0
29,5,0.29,0.0,0
29,6,0.29,0.0,0
29,7,0.29,0.0,0
30,0,0.3,0.0,0
30,1,0.3,9.184727668762207,1
30,2,0.3,0.0,0
30,3,0.3,0.0,0
30,4,0.3,0.0,0
30,5,0.3,0.0,0
30,6,0.3,0.0,0
30,7,0.3,0.0,0
31,0,0.31,0.0,0
31,1,0.31,9.184727668762207,1
31,2,0.31,0.0,0
31,3,0.31,0.0,0
31,4,0.31,0.0,0
31,5,0.31,0.0,0
31,6,0.31,0.0,0
31,7,0.31,4.001482009887695,1
32,0,0.32,0.0,0
32,1,0.32,9.184727668762207,1
32,2,0.32,0.0,0
32,3,0.32,0.0,0
32,4,0.32,0.0,0
32,5,0.32,0.0,0
32,6,0.32,0.0,0
32,7,0.32,4.001482009887695,1
33,0,0.33,0.0,0
33,1,0.33,9.184727668762207,1
33,2,0.33,0.0,0
33,3,0.33,0.0,0
33,4,0.33,0.0,0
33,5,0.33,0.0,0
33,6,0.33,0.0,0
33,7,0.33,4.001482009887695,1
34,0,0.34,0.0,0
34,1,0.34,9.184727668762207,1
34,2,0.34,0.0,0
34,3,0.34,0.0,0
34,4,0.34,0.0,0
34,5,0.34,0.0,0
34,6,0.34,0.0,0
34,7,0.34,4.001482009887695,1
35,0,0.35,0.0,0
35,1,0.35,9.184727668762207,1
35,2,0.35,0.0,0
35,3,0.35,0.0,0
35,4,0.35,0.0,0
35,5,0.35,0.0,0
35,6,0.35,0.0,0
35,7,0.35,4.001482009887695,1
36,0,0.36,0.0,0
36,1,0.36,9.184727668762207,1
36,2,0.36,0.0,0
36,3,0.36,0.0,0
36,4,0.36,0.0,0
36,5,0.36,0.0,0
36,6,0.36,0.0,0
36,7,0.36,4.001482009887695,1
37,0,0.37,0.0,0
37,1,0.37,9.184727668762207,1
37,2,0.37,0.0,0
37,3,0.37,0.0,0
37,4,0.37,0.0,0
37,5,0.37,0.0,0
37,6,0.37,0.0,0
37,7,0.37,4.001482009887695,1
38,0,0.38,0.0,0
38,1,0.38,9.184727668762207,1
38,2,0.38,0.0,0
38,3,0.38,0.0,0
38,4,0.38,0.0,0
38,5,0.38,0.0,0
38,6,0.38,0.0,0
38,7,0.38,4.001482009887695,1
39,0,0.39,0.0,0
39,1,0.39,9.184727668762207,1
39,2,0.39,0.0,0
39,3,0.39,2.5264971256256104,1
39,4,0.39,0.0,0
39,5,0.39,0.0,0
39,6,0.39,0.0,0
39,7,0.39,4.001482009887695,1
40,0,0.4,0.0,0
40,1,0.4,9.184727668762207,1
40,2,0.4,0.0,0
40,3,0.4,2.5264971256256104,1
40,4,0.4,0.0,0
40,5,0.4,0.0,0
40,6,0.4,0.0,0
40,7,0.4,4.001482009887695,1
41,0,0.41,0.0,0
41,1,0.41,9.184727668762207,1
41,2,0.41,0.0,0
41,3,0.41,2.5264971256256104,1
41,4,0.41,0.0,0
41,5,0.41,0.0,0
41,6,0.41,0.0,0
41,7,0.41,4.001482009887695,1
42,0,0.42,0.0,0
42,1,0.42,9.184727668762207,1
42,2,0.42,0.0,0
42,3,0.42,2.5264971256256104,1
42,4,0.42,0.0,0
42,5,0.42,0.0,0
42,6,0.42,0.0,0
42,7,0.42,4.001482009887695,1
43,0,0.43,0.0,0
43,1,0.43,0.0,0
43,2,0.43,0.0,0
43,3,0.43,2.5264971256256104,1
43,4,0.43,0.0,0
43,5,0.43,0.0,0
43,6,0.43,0.0,0
43,7,0.43,4.001482009887695,1
44,0,0.44,0.0,0
44,1,0.44,0.0,0
44,2,0.44,0.0,0
44,3,0.44,2.5264971256256104,1
44,4,0.44,0.0,0
44,5,0.44,0.0,0
44,6,0.44,0.0,0
44,7,0.44,0.0,0
45,0,0.45,0.0,0
45,1,0.45,0.0,0
45,2,0.45,0.0,0
45,3,0.45,2.5264971256256104,1
45,4,0.45,0.0,0
45,5,0.45,0.0,0
45,6,0.45,0.0,0
45,7,0.45,0.0,0
46,0,0.46,0.0,0
46,1,0.46,0.0,0
46,2,0.46,0.0,0
46,3,0.46,2.5264971256256104,1
46,4,0.46,0.0,0
46,5,0.46,0.0,0
46,6,0.46,0.0,0
46,7,0.46,0.0,0
47,0,0.47,0.0,0
47,1,0.47,0.0,0
47,2,0.47,0.0,0
47,3,0.47,2.5264971256256104,1
47,4,0.47,0.0,0
47,5,0.47,0.0,0
47,6,0.47,0.0,0
47,7,0.47,0.0,0
48,0,0.48,0.0,0
48,1,0.48,0.0,0
48,2,0.48,0.0,0
48,3,0.48,2.5264971256256104,1
48,4,0.48,0.0,0
48,5,0.48,0.0,0
48,6,0.48,0.0,0
48,7,0.48,0.0,0
49,0,0.49,0.0,0
49,1,0.49,0.0,0
49,2,0.49,0.0,0
49,3,0.49,2.5264971256256104,1
49,4,0.49,0.0,0
49,5,0.49,0.0,0
49,6,0.49,0.0,0
49,7,0.49,0.0,0
50,0,0.5,0.0,0
50,1,0.5,0.0,0
50,2,0.5,0.0,0
50,3,0.5,2.5264971256256104,1
50,4,0.5,0.0,0
50,5,0.5,0.0,0
50,6,0.5,0.0,0
50,7,0.5,0.0,0
51,0,0.51,0.0,0
51,1,0.51,0.0,0
51,2,0.51,0.0,0
51,3,0.51,2.5264971256256104,1
51,4,0.51,0.0,0
51,5,0.51,0.0,0
51,6,0.51,0.0,0
51,7,0.51,0.0,0
52,0,0.52,0.0,0
52,1,0.52,0.0,0
52,2,0.52,0.0,0
52,3,0.52,2.5264971256256104,1
52,4,0.52,0.0,0
52,5,0.52,0.0,0
52,6,0.52,0.0,0
52,7,0.52,0.0,0
53,0,0.53,0.0,0
53,1,0.53,0.0,0
53,2,0.53,0.0,0
53,3,0.53,0.0,0
53,4,0.53,0.0,0
53,5,0.53,0.0,0
53,6,0.53,0.0,0
53,7,0.53,0.0,0
54,0,0.54,0.0,0
54,1,0.54,0.0,0
54,2,0.54,0.0,0
54,3,0.54,0.0,0
54,4,0.54,0.0,0
54,5,0.54,0.0,0
54,6,0.54,0.0,0
54,7,0.54,9.939377784729004,1
55,0,0.55,0.0,0
55,1,0.55,0.0,0
55,2,0.55,0.0,0
55,3,0.55,0.0,0
55,4,0.55,0.0,0
55,5,0.55,0.0,0
55,6,0.55,0.0,0
55,7,0.55,9.939377784729004,1
56,0,0.56,0.0,0
56,1,0.56,0.0,0
56,2,0.56,0.0,0
56,3,0.56,0.0,0
56,4,0.56,0.0,0
56,5,0.56,0.0,0
56,6,0.56,0.0,0
56,7,0.56,9.939377784729004,1
57,0,0.57,0.0,0
57,1,0.57,0.0,0
57,2,0.57,0.0,0
57,3,0.57,0.0,0
57,4,0.57,0.0,0
57,5,0.57,0.0,0
57,6,0.57,0.0,0
57,7,0.57,0.0,0
58,0,0.58,0.0,0
58,1,0.58,0.0,0
58,2,0.58,0.0,0
58,3,0.58,0.0,0
58,4,0.58,9.68002986907959,1
58,5,0.58,0.0,0
58,6,0.58,0.0,0
58,7,0.58,0.0,0
59,0,0.59,0.0,0
59,1,0.59,0.0,0
59,2,0.59,0.0,0
59,3,0.59,0.0,0
59,4,0.59,9.68002986907959,1
59,5,0.59,0.0,0
59,6,0.59,0.0,0
59,7,0.59,0.0,0
60,0,0.6,0.0,0
60,1,0.6,0.0,0
60,2,0.6,0.0,0
60,3,0.6,0.0,0
60,4,0.6,9.68002986907959,1
60,5,0.6,0.0,0
60,6,0.6,0.0,0
60,7,0.6,0.0,0
61,0,0.61,0.0,0
61,1,0.61,0.0,0
61,2,0.61,0.0,0
61,3,0.61,0.0,0
61,4,0.61,0.0,0
61,5,0.61,0.0,0
61,6,0.61,4.741050720214844,1
61,7,0.61,0.0,0
62,0,0.62,0.0,0
62,1,0.62,0.0,0
62,2,0.62,0.0,0
62,3,0.62,0.0,0
62,4,0.62,0.0,0
62,5,0.62,0.0,0
62,6,0.62,4.741050720214844,1
62,7,0.62,0.0,0
63,0,0.63,0.0,0
63,1,0.63,0.0,0
63,2,0.63,0.0,0
63,3,0.63,0.0,0
63,4,0.63,0.0,0
63,5,0.63,9.644951820373535,1
63,6,0.63,4.741050720214844,1
63,7,0.63,0.0,0
64,0,0.64,0.0,0
64,1,0.64,0.0,0
64,2,0.64,0.0,0
64,3,0.64,0.0,0
64,4,0.64,0.0,0
64,5,0.64,9.644951820373535,1
64,6,0.64,4.741050720214844,1
64,7,0.64,0.0,0
65,0,0.65,0.0,0
65,1,0.65,0.0,0
65,2,0.65,4.424876689910889,1
65,3,0.65,0.0,0
65,4,0.65,0.0,0
65,5,0.65,9.644951820373535,1
65,6,0.65,4.741050720214844,1
65,7,0.65,0.0,0
66,0,0.66,0.0,0
66,1,0.66,0.0,0
66,2,0.66,4.424876689910889,1
66,3,0.66,0.0,0
66,4,0.66,0.0,0
66,5,0.66,9.644951820373535,1
66,6,0.66,4.741050720214844,1
66,7,0.66,0.0,0
67,0,0.67,0.0,0
67,1,0.67,0.0,0
67,2,0.67,4.424876689910889,1
67,3,0.67,0.0,0
67,4,0.67,0.0,0
67,5,0.67,9.644951820373535,1
67,6,0.67,4.741050720214844,1
67,7,0.67,0.0,0
68,0,0.68,0.0,0
68,1,0.68,0.0,0
68,2,0.68,4.424876689910889,1
68,3,0.68,0.0,0
68,4,0.68,0.0,0
68,5,0.68,9.644951820373535,1
68,6,0.68,4.741050720214844,1
68,7,0.68,0.0,0
69,0,0.69,3.7951862812042236,1
69,1,0.69,0.0,0
69,2,0.69,4.424876689910889,1
69,3,0.69,0.0,0
69,4,0.69,7.394787311553955,1
69,5,0.69,0.0,0
69,6,0.69,0.0,0
69,7,0.69,0.0,0
70,0,0.7,3.7951862812042236,1
70,1,0.7,0.0,0
70,2,0.7,0.0,0
70,3,0.7,0.0,0
70,4,0.7,7.394787311553955,1
70,5,0.7,0.0,0
70,6,0.7,0.0,0
70,7,0.7,7.291760444641113,1
71,0,0.71,3.7951862812042236,1
71,1,0.71,0.0,0
71,2,0.71,0.0,0
71,3,0.71,6.4936370849609375,1
71,4,0.71,7.394787311553955,1
71,5,0.71,0.0,0
71,6,0.71,0.0,0
71,7,0.71,7.291760444641113,1
72,0,0.72,3.7951862812042236,1
72,1,0.72,0.0,0
72,2,0.72,0.0,0
72,3,0.72,6.4936370849609375,1
72,4,0.72,7.394787311553955,1
72,5,0.72,0.0,0
72,6,0.72,0.0,0
72,7,0.72,7.291760444641113,1
73,0,0.73,3.7951862812042236,1
73,1,0.73,0.0,0
73,2,0.73,0.0,0
73,3,0.73,6.4936370849609375,1
73,4,0.73,7.394787311553955,1
73,5,0.73,0.0,0
73,6,0.73,0.0,0
73,7,0.73,7.291760444641113,1
74,0,0.74,3.7951862812042236,1
74,1,0.74,0.0,0
74,2,0.74,0.0,0
74,3,0.74,6.4936370849609375,1
74,4,0.74,7.394787311553955,1
74,5,0.74,0.0,0
74,6,0.74,2.724274158477783,1
74,7,0.74,7.291760444641113,1
75,0,0.75,3.7951862812042236,1
75,1,0.75,0.0,0
75,2,0.75,0.0,0
75,3,0.75,6.4936370849609375,1
75,4,0.75,7.394787311553955,1
75,5,0.75,0.0,0
75,6,0.75,2.724274158477783,1
75,7,0.75,7.291760444641113,1
76,0,0.76,3.7951862812042236,1
76,1,0.76,9.848945617675781,1
76,2,0.76,0.0,0
76,3,0.76,0.0,0
76,4,0.76,7.394787311553955,1
76,5,0.76,0.0,0
76,6,0.76,2.724274158477783,1
76,7,0.76,7.291760444641113,1
77,0,0.77,3.7951862812042236,1
77,1,0.77,9.848945617675781,1
77,2,0.77,0.0,0
77,3,0.77,1.6392507553100586,1
77,4,0.77,7.394787311553955,1
77,5,0.77,0.0,0
77,6,0.77,2.724274158477783,1
77,7,0.77,7.291760444641113,1
78,0,0.78,3.7951862812042236,1
78,1,0.78,9.848945617675781,1
78,2,0.78,0.0,0
78,3,0.78,1.6392507553100586,1
78,4,0.78,7.394787311553955,1
78,5,0.78,0.0,0
78,6,0.78,2.724274158477783,1
78,7,0.78,7.291760444641113,1
79,0,0.79,0.0,0
79,1,0.79,0.0,0
79,2,0.79,0.0,0
79,3,0.79,1.6392507553100586,1
79,4,0.79,0.0,0
79,5,0.79,5.396936893463135,1
79,6,0.79,2.724274158477783,1
79,7,0.79,7.291760444641113,1
80,0,0.8,0.0,0
80,1,0.8,0.0,0
80,2,0.8,0.0,0
80,3,0.8,1.6392507553100586,1
80,4,0.8,0.0,0
80,5,0.8,5.396936893463135,1
80,6,0.8,2.724274158477783,1
80,7,0.8,7.291760444641113,1
81,0,0.81,3.9039154052734375,1
81,1,0.81,0.0,0
81,2,0.81,0.0,0
81,3,0.81,1.6392507553100586,1
81,4,0.81,0.0,0
81,5,0.81,5.396936893463135,1
81,6,0.81,2.724274158477783,1
81,7,0.81,7.291760444641113,1
82,0,0.82,3.9039154052734375,1
82,1,0.82,0.0,0
82,2,0.82,5.484827995300293,1
82,3,0.82,1.6392507553100586,1
82,4,0.82,0.0,0
82,5,0.82,5.396936893463135,1
82,6,0.82,2.724274158477783,1
82,7,0.82,7.291760444641113,1
83,0,0.83,3.9039154052734375,1
83,1,0.83,0.0,0
83,2,0.83,5.484827995300293,1
83,3,0.83,1.6392507553100586,1
83,4,0.83,0.0,0
83,5,0.83,5.396936893463135,1
83,6,0.83,0.0,0
83,7,0.83,7.291760444641113,1
84,0,0.84,3.9039154052734375,1
84,1,0.84,0.0,0
84,2,0.84,5.484827995300293,1
84,3,0.84,1.6392507553100586,1
84,4,0.84,0.0,0
84,5,0.84,5.396936893463135,1
84,6,0.84,0.0,0
84,7,0.84,7.291760444641113,1
85,0,0.85,3.9039154052734375,1
85,1,0.85,0.0,0
85,2,0.85,5.484827995300293,1
85,3,0.85,0.0,0
85,4,0.85,0.0,0
85,5,0.85,5.396936893463135,1
85,6,0.85,0.0,0
85,7,0.85,0.0,0
86,0,0.86,3.9039154052734375,1
86,1,0.86,0.0,0
86,2,0.86,5.484827995300293,1
86,3,0.86,2.8174080848693848,1
86,4,0.86,0.0,0
86,5,0.86,5.396936893463135,1
86,6,0.86,0.0,0
86,7,0.86,0.0,0
87,0,0.87,3.9039154052734375,1
87,1,0.87,6.625025272369385,1
87,2,0.87,5.484827995300293,1
87,3,0.87,2.8174080848693848,1
87,4,0.87,0.0,0
87,5,0.87,5.396936893463135,1
87,6,0.87,0.0,0
87,7,0.87,0.0,0
88,0,0.88,3.9039154052734375,1
88,1,0.88,6.625025272369385,1
88,2,0.88,5.484827995300293,1
88,3,0.88,2.8174080848693848,1
88,4,0.88,0.0,0
88,5,0.88,0.0,0
88,6,0.88,0.0,0
88,7,0.88,0.0,0
89,0,0.89,3.9039154052734375,1
89,1,0.89,6.625025272369385,1
89,2,0.89,5.484827995300293,1
89,3,0.89,2.8174080848693848,1
89,4,0.89,0.0,0
89,5,0.89,0.0,0
89,6,0.89,0.0,0
89,7,0.89,0.0,0
90,0,0.9,3.9039154052734375,1
90,1,0.9,6.625025272369385,1
90,2,0.9,5.484827995300293,1
90,3,0.9,2.8174080848693848,1
90,4,0.9,0.0,0
90,5,0.9,0.0,0
90,6,0.9,0.0,0
90,7,0.9,0.0,0
91,0,0.91,3.9039154052734375,1
91,1,0.91,6.625025272369385,1
91,2,0.91,5.484827995300293,1
91,3,0.91,2.8174080848693848,1
91,4,0.91,0.0,0
91,5,0.91,0.0,0
91,6,0.91,0.0,0
91,7,0.91,0.0,0
92,0,0.92,3.9039154052734375,1
92,1,0.92,6.625025272369385,1
92,2,0.92,5.484827995300293,1
92,3,0.92,2.8174080848693848,1
92,4,0.92,0.0,0
92,5,0.92,0.0,0
92,6,0.92,0.0,0
92,7,0.92,0.0,0
93,0,0.93,3.9039154052734375,1
93,1,0.93,6.625025272369385,1
93,2,0.93,0.0,0
93,3,0.93,2.8174080848693848,1
93,4,0.93,0.0,0
93,5,0.93,0.0,0
93,6,0.93,0.0,0
93,7,0.93,5.882204532623291,1
94,0,0.94,0.0,0
94,1,0.94,6.625025272369385,1
94,2,0.94,0.0,0
94,3,0.94,0.0,0
94,4,0.94,0.0,0
94,5,0.94,0.0,0
94,6,0.94,0.0,0
94,7,0.94,5.882204532623291,1
95,0,0.95,0.0,0
95,1,0.95,6.625025272369385,1
95,2,0.95,0.0,0
95,3,0.95,0.0,0
95,4,0.95,0.0,0
95,5,0.95,0.0,0
95,6,0.95,0.0,0
95,7,0.95,5.882204532623291,1
96,0,0.96,0.0,0
96,1,0.96,0.0,0
96,2,0.96,0.0,0
96,3,0.96,0.0,0
96,4,0.96,0.0,0
96,5,0.96,0.0,0
96,6,0.96,0.0,0
96,7,0.96,5.882204532623291,1
97,0,0.97,7.088552951812744,1
97,1,0.97,1.3493705987930298,1
97,2,0.97,0.0,0
97,3,0.97,0.0,0
97,4,0.97,1.422162652015686,1
97,5,0.97,0.0,0
97,6,0.97,0.0,0
97,7,0.97,5.882204532623291,1
98,0,0.98,7.088552951812744,1
98,1,0.98,1.3493705987930298,1
98,2,0.98,0.0,0
98,3,0.98,0.0,0
98,4,0.98,1.422162652015686,1
98,5,0.98,0.0,0
98,6,0.98,0.0,0
98,7,0.98,5.882204532623291,1
99,0,0.99,7.088552951812744,1
99,1,0.99,1.3493705987930298,1
99,2,0.99,0.0,0
99,3,0.99,0.0,0
99,4,0.99,1.422162652015686,1
99,5,0.99,0.0,0
99,6,0.99,0.0,0
99,7,0.99,5.882204532623291,1
100,0,1.0,7.088552951812744,1
100,1,1.0,1.3493705987930298,1
100,2,1.0,0.0,0
100,3,1.0,0.0,0
100,4,1.0,1.422162652015686,1
100,5,1.0,0.0,0
100,6,1.0,0.0,0
100,7,1.0,0.0,0
101,0,1.01,7.088552951812744,1
101,1,1.01,1.3493705987930298,1
101,2,1.01,0.0,0
101,3,1.01,0.0,0
101,4,1.01,0.0,0
101,5,1.01,0.0,0
101,6,1.01,0.0,0
101,7,1.01,0.0,0
102,0,1.02,7.088552951812744,1
102,1,1.02,1.3493705987930298,1
102,2,1.02,0.0,0
102,3,1.02,0.0,0
102,4,1.02,0.0,0
102,5,1.02,0.0,0
102,6,1.02,0.0,0
102,7,1.02,0.0,0
103,0,1.03,7.088552951812744,1
103,1,1.03,1.3493705987930298,1
103,2,1.03,0.0,0
103,3,1.03,0.0,0
103,4,1.03,0.0,0
103,5,1.03,0.0,0
103,6,1.03,0.0,0
103,7,1.03,0.0,0
104,0,1.04,7.088552951812744,1
104,1,1.04,1.3493705987930298,1
104,2,1.04,0.0,0
104,3,1.04,0.0,0
104,4,1.04,0.0,0
104,5,1.04,0.0,0
104,6,1.04,0.0,0
104,7,1.04,0.0,0
105,0,1.05,0.0,0
105,1,1.05,1.3493705987930298,1
105,2,1.05,0.0,0
105,3,1.05,0.0,0
105,4,1.05,0.0,0
105,5,1.05,0.0,0
105,6,1.05,0.0,0
105,7,1.05,3.621027946472168,1
106,0,1.06,0.0,0
106,1,1.06,1.3493705987930298,1
106,2,1.06,0.0,0
106,3,1.06,0.0,0
106,4,1.06,0.0,0
106,5,1.06,0.0,0
106,6,1.06,2.7439982891082764,1
106,7,1.06,3.621027946472168,1
107,0,1.07,0.0,0
107,1,1.07,1.3493705987930298,1
107,2,1.07,0.0,0
107,3,1.07,0.0,0
107,4,1.07,0.0,0
107,5,1.07,0.0,0
107,6,1.07,2.7439982891082764,1
107,7,1.07,3.621027946472168,1
108,0,1.08,0.0,0
108,1,1.08,1.3493705987930298,1
108,2,1.08,0.0,0
108,3,1.08,0.0,0
108,4,1.08,0.0,0
108,5,1.08,0.0,0
108,6,1.08,2.7439982891082764,1
108,7,1.08,3.621027946472168,1
109,0,1.09,0.0,0
109,1,1.09,1.3493705987930298,1
109,2,1.09,0.0,0
109,3,1.09,8.781540870666504,1
109,4,1.09,0.0,0
109,5,1.09,0.0,0
109,6,1.09,0.0,0
109,7,1.09,3.621027946472168,1
110,0,1.1,0.0,0
110,1,1.1,1.3493705987930298,1
110,2,1.1,0.0,0
110,3,1.1,8.781540870666504,1
110,4,1.1,0.0,0
110,5,1.1,2.4037373065948486,1
110,6,1.1,0.0,0
110,7,1.1,3.621027946472168,1
111,0,1.11,0.0,0
111,1,1.11,0.0,0
111,2,1.11,0.0,0
111,3,1.11,8.781540870666504,1
111,4,1.11,0.0,0
111,5,1.11,2.4037373065948486,1
111,6,1.11,0.0,0
111,7,1.11,3.621027946472168,1
112,0,1.12,0.0,0
112,1,1.12,0.0,0
