slug,category,name,overhead_median_pct,overhead_q1_pct,overhead_q3_pct,overhead_min_pct,overhead_max_pct
cat1_motor_armature,1,motor armature,0.4171047859100825,0.2625149764682502,2.2106010507098413,-2.5998871734989266,7.86186145862552
cat1_velocity_gain_kv,1,velocity gain kv,1.9414618554146632,1.5664026210430202,10.917173573045908,-0.43734645337661837,11.44138520144294
cat1_friction_ratio,1,friction ratio,2.266346835400697,0.7536073406155771,2.5705188230168017,0.27770482353306825,9.940530629147904
cat1_mass_shift,1,mass shift,3.1026268224543334,-0.6053480970403793,8.68303142482075,-0.8378377814902369,11.037162983377899
cat1_com_shift,1,com shift,3.1215814283685708,0.06051015102059666,4.953415623739911,-4.929129516845796,7.367941715925879
cat1_joint_damping,1,joint damping,3.669954664109274,0.03471623154474781,9.466431690934348,-1.1408695056550788,10.11823944751498
cat1_joint_stiffness,1,joint stiffness,3.8807611649596616,1.2123681425577182,4.484606975361345,-2.1418973779291615,4.665542333655183
cat1_position_gain_kp,1,position gain kp,5.253071665270484,4.3143627279105905,6.4838182282779755,4.214700064850631,17.02098020263167
cat1_structural_flexibility,1,structural flexibility,68.31965986726473,67.99845548696614,72.13901195973335,64.88869643252097,76.84452846619547
cat1_propeller_blade_damage,1,propeller blade damage,69.31459246138755,68.13759730379986,76.51403604729097,64.99212835648837,77.08096211343367
cat1_aero_drag_coeff,1,aero drag coeff,69.42142674276406,64.55029811653415,71.8235966368319,61.47646996679956,73.969732992888
cat1_battery_voltage_sag,1,battery voltage sag,82.97010658829942,76.80984362652376,91.77481517566596,75.39707045707904,93.72458864670654
cat1_ground_effect,1,ground effect,104.10883594850797,99.19404563902629,104.19239634465146,85.56794923693785,105.45915627879532
cat1_inertia_tensor,1,inertia tensor,115.27793040363876,111.78471753624186,121.8440021611936,109.853045927696,125.26364613349375
cat1_chassis_geometry_asymmetry,1,chassis geometry asymmetry,125.48203753423499,120.50157690771105,127.51855993727754,109.18435888726867,128.97266941011148
cat2_motor_wear,2,motor wear,0.6477462808376732,-0.2628826123643726,2.8999311887562707,-4.682438486331123,5.276945070855323
cat2_motor_cold_start,2,motor cold start,3.0224059269437134,-0.4006195846997603,6.90899810525243,-1.795263722228025,8.120036439640415
cat2_motor_kill,2,motor kill,3.7240653001112847,1.6309276641848909,5.640524959955818,0.10642175949291006,6.573345904506164
cat2_motor_saturation,2,motor saturation,4.4160102433440365,3.9292713411536533,5.204071854545785,-1.5194558779018255,8.689689513780195
cat2_rotor_imbalance,2,rotor imbalance,7.149206297783682,5.26479126938545,7.73558027147886,5.0934826779861115,9.132396926403146
cat2_motor_lag,2,motor lag,11.085806396588028,8.528790101634245,11.880650601577376,7.945252414841455,12.027478414494706
cat2_motor_rpm_noise,2,motor rpm noise,14.00701537064672,12.285929262932903,21.27476058893958,11.153645304432564,27.731654393493294
cat2_torque_coeff_km,2,torque coeff km,68.69360919313118,68.19874130925584,68.84344627986975,62.38625062136739,71.05738013086535
cat2_gyroscopic_effect,2,gyroscopic effect,68.84452500904978,67.84320138749848,73.31969470764341,66.36244713991918,79.79006640409338
cat2_thrust_coeff_kf,2,thrust coeff kf,72.76528567736187,71.76739379147725,75.53081306825663,61.448960742666216,80.2688390824492
cat2_propeller_thrust_asymmetry,2,propeller thrust asymmetry,73.18757155299805,70.29853306357431,78.57466036175015,64.69378916604148,87.86059930941974
cat2_motor_partial_failure,2,motor partial failure,75.82274248935563,72.29903121117076,79.19098677492917,60.61998489131947,82.14132447096125
cat2_motor_back_emf,2,motor back emf,83.34877982399877,82.72467571282804,87.61995797520538,75.75768804067788,90.03286890883506
cat3_action_fixed_delay,3,action fixed delay,14.891875980098595,11.202911135461987,16.17987700081916,9.545318645853985,17.138312673722663
cat3_obs_fixed_delay,3,obs fixed delay,17.26737571680258,17.21191250811512,17.827886322183677,11.334513510859932,20.706111718913327
cat3_packet_loss,3,packet loss,17.34284975495374,11.741274586003817,17.890514697112515,8.009501845779514,19.465071973316814
cat3_action_variable_delay,3,action variable delay,22.283458157736277,21.327939193387188,28.096615183972855,16.41596436581027,29.527297149609964
cat3_obs_variable_delay,3,obs variable delay,23.930513640737285,21.656460220655383,29.924206562435252,20.94526712102254,33.168846992639814
cat3_computation_overload,3,computation overload,26.19563273267824,23.961237536440603,28.556974023547387,19.442803215913564,30.63800709775745
cat4_sensor_quantization,4,sensor quantization,6.9659456247824405,2.009004942048742,7.410055954903147,-0.5139703409825658,11.275468957847206
cat4_magnetometer_interference,4,magnetometer interference,7.59697700760629,6.809002932235485,10.528458609058907,3.770535359016332,13.01240573050608
cat4_obs_channel_masking,4,obs channel masking,9.415158681113365,8.905688295717383,9.452220258578961,-0.5157958181240154,18.290485753869206
cat4_sensor_cross_axis,4,sensor cross axis,10.056588046753179,4.998792759204997,13.190922847853942,4.865990336507033,14.415606542402573
cat4_gyro_bias,4,gyro bias,10.996838617677792,4.718884099114425,16.755161206513794,3.0988087166763942,21.529320959652182
cat4_velocity_noise,4,velocity noise,11.986895948066909,11.673123358877287,18.47793230597239,7.064620311205486,18.689763056125333
cat4_position_noise,4,position noise,13.953826286460803,8.162444010896056,22.52427187914012,7.942735043384569,25.220520640036604
cat4_gyro_noise,4,gyro noise,17.916136235008356,15.607633944046201,26.092987303970805,10.852430538429564,26.91756537947711
cat4_optical_flow_noise,4,optical flow noise,20.14250776943743,16.751823552835376,32.01844405910278,10.357192473277413,38.682807673886636
cat4_position_outlier,4,position outlier,21.54228622902971,20.898726864917325,26.77288784156433,18.66052354212148,27.143876421438502
cat4_imu_vibration,4,imu vibration,23.994690064015327,21.24000508982789,26.74584333924095,17.89423971599855,34.20745089382141
cat4_accel_noise_bias_drift,4,accel noise bias drift,24.907004407732586,23.93608402930604,26.477144464699258,12.706585383657737,28.17347330738776
cat4_barometer_drift,4,barometer drift,25.025753172865468,24.74131841654899,27.977321936811467,21.28523206649817,33.27963056247459
cat4_position_dropout,4,position dropout,28.112736770631713,23.53943408152756,29.97064129479352,20.28242928390191,33.124558650711705
cat4_gyro_drift,4,gyro drift,31.542154775673424,23.904515323366276,35.68995222040034,17.287271561065364,35.74429832610975
cat4_clock_drift,4,clock drift,32.84918722255701,23.503398082005514,43.00529713763771,22.923524059608418,49.55429000924104
cat5_constant_wind,5,constant wind,61.06115154370914,58.674140385257665,68.79575138125261,55.72432594416485,73.69224811222075
cat5_adversarial_wind,5,adversarial wind,70.54542496891385,69.67188242356673,73.15565634341968,62.255120791305664,83.16795543516233
