step,env_id,time_s,phase_offset_s
34,2,0.34,7.230996743601281e-07
34,3,0.34,1.7320894585282076e-06
35,0,0.35,-1.8052983250527177e-06
35,1,0.35,9.845566637523007e-07
35,2,0.35,4.402392903557484e-07
35,3,0.35,1.8342036582907895e-06
36,0,0.36,-1.587467977515189e-06
36,1,0.36,1.153945390797162e-06
36,2,0.36,8.870547958395036e-07
36,3,0.36,1.571746906847693e-06
37,0,0.37,-1.9651392904052045e-06
37,1,0.37,1.3034401717959554e-06
37,2,0.37,6.416670430553495e-07
37,3,0.37,1.8706786022448796e-06
38,0,0.38,-2.373821871515247e-06
38,1,0.38,1.1817513723144657e-06
38,2,0.38,6.309150535344088e-07
38,3,0.38,1.854730726336129e-06
39,0,0.39,-2.1168909825064475e-06
39,1,0.39,1.0192336503678234e-06
39,2,0.39,6.011293862684397e-07
39,3,0.39,1.9616263671196066e-06
40,0,0.4,-2.3955974484124454e-06
40,1,0.4,9.97993538476294e-07
40,2,0.4,8.957888439908857e-07
40,3,0.4,1.6365640931326197e-06
41,0,0.41,-2.736685473792022e-06
41,1,0.41,7.6465414622362e-07
41,2,0.41,5.071676127954561e-07
41,3,0.41,1.34765207349119e-06
42,0,0.42,-2.287164534209296e-06
42,1,0.42,1.043991574078973e-06
42,2,0.42,2.9271825496834936e-07
42,3,0.42,1.4391162039828487e-06
43,0,0.43,-2.189781071137986e-06
43,1,0.43,6.116869712968764e-07
43,2,0.43,5.394574031925004e-07
43,3,0.43,1.4952955780245247e-06
44,0,0.44,-2.4554235551477177e-06
44,1,0.44,9.733400929690106e-07
44,2,0.44,2.966757790545671e-07
44,3,0.44,1.96447786038334e-06
45,0,0.45,-2.2280094071902568e-06
45,1,0.45,1.0257325584461796e-06
45,2,0.45,7.206494956335519e-07
45,3,0.45,2.1510393253265647e-06
46,0,0.46,-1.970705397980055e-06
46,1,0.46,1.008731032925425e-06
46,2,0.46,8.118555001601635e-07
46,3,0.46,2.625230081321206e-06
47,0,0.47,-2.0734298686875263e-06
47,1,0.47,5.727503094021813e-07
47,2,0.47,7.898939315964526e-07
47,3,0.47,2.1644912067131372e-06
48,0,0.48,-1.5976270333339926e-06
48,1,0.48,9.431500984646846e-07
48,2,0.48,7.333827056754672e-07
48,3,0.48,2.4865419163688784e-06
49,0,0.49,-1.8472950387149467e-06
49,1,0.49,1.1544753988346201e-06
49,2,0.49,1.1625247680058237e-06
49,3,0.49,2.67782388618798e-06
50,0,0.5,-1.7123790030382224e-06
50,1,0.5,1.4687084330944344e-06
50,2,0.5,6.979187219258165e-07
50,3,0.5,2.9047921543678967e-06
51,0,0.51,-1.797823188098846e-06
51,1,0.51,1.804223302315222e-06
51,2,0.51,6.530952418870584e-07
51,3,0.51,2.423242904114886e-06
52,0,0.52,-1.3875614968128502e-06
52,1,0.52,1.3191950074542547e-06
52,2,0.52,3.7379294326456147e-07
52,3,0.52,2.747155576798832e-06
53,0,0.53,-1.4061816955290851e-06
53,1,0.53,1.6522794794582296e-06
53,2,0.53,6.904393785589491e-07
53,3,0.53,3.1282747841032688e-06
54,0,0.54,-1.3996806274008122e-06
54,1,0.54,2.0764771306858165e-06
54,2,0.54,7.504020231863251e-07
54,3,0.54,3.479726501609548e-06
55,0,0.55,-1.5025833590698312e-06
55,1,0.55,2.5655460831330856e-06
55,2,0.55,7.054853199406352e-07
55,3,0.55,3.7571144275716506e-06
56,0,0.56,-1.0746288126028958e-06
56,1,0.56,2.8345975806587376e-06
56,2,0.56,8.768776638135023e-07
56,3,0.56,4.148439074924681e-06
57,0,0.57,-1.2199698176118545e-06
57,1,0.57,3.2681582524674013e-06
57,2,0.57,1.3441492683341494e-06
