frequency_hz,ou_power,white_noise_ref
0.0,0.0,2.45216903700137e-06
0.048828125,0.010661666952910147,2.45216903700137e-06
0.09765625,0.010929468399943763,2.45216903700137e-06
0.146484375,0.005680690850152601,2.45216903700137e-06
0.1953125,0.010647033158009547,2.45216903700137e-06
0.244140625,0.004526450984261708,2.45216903700137e-06
0.29296875,0.005821833631531227,2.45216903700137e-06
0.341796875,0.005735859371952329,2.45216903700137e-06
0.390625,0.002881516688929749,2.45216903700137e-06
0.439453125,0.0033728810972024495,2.45216903700137e-06
0.48828125,0.0006262576694343589,2.45216903700137e-06
0.537109375,0.0032917029041702765,2.45216903700137e-06
0.5859375,0.0010638380887503989,2.45216903700137e-06
0.634765625,0.002176763923935247,2.45216903700137e-06
0.68359375,0.001742100614250598,2.45216903700137e-06
0.732421875,0.004674276422854206,2.45216903700137e-06
0.78125,0.0009969871981804364,2.45216903700137e-06
0.830078125,0.0003347633692179938,2.45216903700137e-06
0.87890625,0.003352668686545282,2.45216903700137e-06
0.927734375,0.0008781524073746012,2.45216903700137e-06
0.9765625,0.002158184932726801,2.45216903700137e-06
1.025390625,0.000722621706209875,2.45216903700137e-06
1.07421875,0.0007881625229832534,2.45216903700137e-06
1.123046875,0.0006406932443745077,2.45216903700137e-06
1.171875,0.0015817196695172993,2.45216903700137e-06
1.220703125,0.001686589833873573,2.45216903700137e-06
1.26953125,0.0007332000333819482,2.45216903700137e-06
1.318359375,0.0005367356998572383,2.45216903700137e-06
1.3671875,0.0006803570687243467,2.45216903700137e-06
1.416015625,0.0004603546164540775,2.45216903700137e-06
1.46484375,0.0006317704586429156,2.45216903700137e-06
1.513671875,0.0020500412350276443,2.45216903700137e-06
1.5625,0.000908145508615363,2.45216903700137e-06
1.611328125,0.00034327038916419003,2.45216903700137e-06
1.66015625,0.0006025819998215573,2.45216903700137e-06
1.708984375,0.00033851278944279907,2.45216903700137e-06
1.7578125,0.0001936911387134761,2.45216903700137e-06
1.806640625,0.000906160715904271,2.45216903700137e-06
1.85546875,0.0003168200830626928,2.45216903700137e-06
1.904296875,0.0007815141559770266,2.45216903700137e-06
1.953125,0.00048617106299620323,2.45216903700137e-06
2.001953125,0.00023037007334523741,2.45216903700137e-06
2.05078125,0.00047491273463886577,2.45216903700137e-06
2.099609375,0.0003730263778745969,2.45216903700137e-06
2.1484375,0.000550359068613001,2.45216903700137e-06
2.197265625,0.0003802467119548799,2.45216903700137e-06
2.24609375,0.0003131602467760043,2.45216903700137e-06
2.294921875,0.00015789690040241903,2.45216903700137e-06
2.34375,8.588102636269882e-05,2.45216903700137e-06
2.392578125,0.00024024819700081576,2.45216903700137e-06
2.44140625,0.00020991917068573742,2.45216903700137e-06
2.490234375,0.00011206753757760431,2.45216903700137e-06
2.5390625,0.00012168390636285751,2.45216903700137e-06
2.587890625,0.0003947539366221952,2.45216903700137e-06
2.63671875,7.174773322048764e-05,2.45216903700137e-06
2.685546875,5.843786251577924e-05,2.45216903700137e-06
2.734375,0.00042419024306850154,2.45216903700137e-06
2.783203125,4.148099250821799e-05,2.45216903700137e-06
2.83203125,0.00020419766692660377,2.45216903700137e-06
2.880859375,9.723914383879917e-05,2.45216903700137e-06
2.9296875,0.00036259964694100783,2.45216903700137e-06
2.978515625,8.300253281079363e-05,2.45216903700137e-06
3.02734375,0.00011564584433509443,2.45216903700137e-06
3.076171875,0.0002572047035060198,2.45216903700137e-06
3.125,0.00011059577755828445,2.45216903700137e-06
3.173828125,0.00012241404034974324,2.45216903700137e-06
3.22265625,0.00020566132807715826,2.45216903700137e-06
3.271484375,0.0002581643477098116,2.45216903700137e-06
3.3203125,0.00010660721346007528,2.45216903700137e-06
3.369140625,8.925175051967885e-05,2.45216903700137e-06
3.41796875,0.00021169671313138705,2.45216903700137e-06
3.466796875,0.0003953756432976016,2.45216903700137e-06
3.515625,0.00013467063622322502,2.45216903700137e-06
3.564453125,5.286684094094524e-05,2.45216903700137e-06
3.61328125,9.577837077626278e-05,2.45216903700137e-06
3.662109375,7.072870984276767e-05,2.45216903700137e-06
3.7109375,3.6454189932027564e-05,2.45216903700137e-06
3.759765625,0.00011250180623520745,2.45216903700137e-06
3.80859375,6.874390958971754e-05,2.45216903700137e-06
3.857421875,2.9880102020695615e-05,2.45216903700137e-06
3.90625,4.0256654128913804e-05,2.45216903700137e-06
3.955078125,0.00015254103685281102,2.45216903700137e-06
4.00390625,9.350336121580202e-05,2.45216903700137e-06
4.052734375,4.553446899026793e-05,2.45216903700137e-06
4.1015625,0.00015539836562427432,2.45216903700137e-06
4.150390625,9.61401646332033e-05,2.45216903700137e-06
4.19921875,0.00012739555461175383,2.45216903700137e-06
4.248046875,4.4368060326871976e-05,2.45216903700137e-06
4.296875,4.934458574433446e-05,2.45216903700137e-06
4.345703125,6.316031588886766e-05,2.45216903700137e-06
4.39453125,6.24826070983605e-05,2.45216903700137e-06
4.443359375,4.497129028682805e-05,2.45216903700137e-06
4.4921875,2.8520021180216656e-05,2.45216903700137e-06
4.541015625,6.313593792899138e-05,2.45216903700137e-06
4.58984375,4.833064119097284e-05,2.45216903700137e-06
4.638671875,4.48763209838036e-05,2.45216903700137e-06
4.6875,0.00014806450084084698,2.45216903700137e-06
4.736328125,7.703512872892007e-05,2.45216903700137e-06
4.78515625,2.9818630559681514e-05,2.45216903700137e-06
4.833984375,6.080333933423781e-05,2.45216903700137e-06
4.8828125,3.5153675539915965e-05,2.45216903700137e-06
4.931640625,7.64173476352158e-05,2.45216903700137e-06
4.98046875,8.15393948611837e-05,2.45216903700137e-06
5.029296875,2.7832277423935177e-05,2.45216903700137e-06
5.078125,8.886181680489349e-05,2.45216903700137e-06
5.126953125,5.923820490921478e-05,2.45216903700137e-06
5.17578125,6.887707239307755e-05,2.45216903700137e-06
5.224609375,1.9684487953000376e-05,2.45216903700137e-06
5.2734375,8.798989854692195e-05,2.45216903700137e-06
5.322265625,2.323211103546561e-05,2.45216903700137e-06
5.37109375,4.607509898660385e-05,2.45216903700137e-06
5.419921875,3.569237311543724e-05,2.45216903700137e-06
5.46875,6.848029263060441e-05,2.45216903700137e-06
5.517578125,4.71168559230422e-05,2.45216903700137e-06
5.56640625,3.58284100119311e-05,2.45216903700137e-06
5.615234375,2.0558710397752155e-05,2.45216903700137e-06
5.6640625,3.679492271840575e-05,2.45216903700137e-06
5.712890625,5.892175392215176e-05,2.45216903700137e-06
5.76171875,4.796841126504258e-05,2.45216903700137e-06
5.810546875,1.8690443774310585e-05,2.45216903700137e-06
5.859375,5.235626608500321e-05,2.45216903700137e-06
5.908203125,2.799973330345889e-05,2.45216903700137e-06
5.95703125,1.344423540054514e-05,2.45216903700137e-06
6.005859375,1.9621360685004352e-05,2.45216903700137e-06
6.0546875,5.645752448173871e-05,2.45216903700137e-06
6.103515625,2.639264736657164e-05,2.45216903700137e-06
6.15234375,3.648777740656329e-05,2.45216903700137e-06
6.201171875,0.00012656884032027094,2.45216903700137e-06
6.25,2.1717846347175535e-05,2.45216903700137e-06
6.298828125,2.2529373873233073e-05,2.45216903700137e-06
6.34765625,4.0641569948492244e-05,2.45216903700137e-06
6.396484375,4.214735095937857e-05,2.45216903700137e-06
6.4453125,2.665311609865377e-05,2.45216903700137e-06
6.494140625,2.2640192918699777e-05,2.45216903700137e-06
6.54296875,4.063802316995005e-05,2.45216903700137e-06
6.591796875,6.441186261123807e-05,2.45216903700137e-06
6.640625,4.1095779461562784e-05,2.45216903700137e-06
6.689453125,3.129482035638019e-05,2.45216903700137e-06
6.73828125,2.9559491113618962e-05,2.45216903700137e-06
6.787109375,2.2515698116089612e-05,2.45216903700137e-06
6.8359375,1.1003730249855073e-05,2.45216903700137e-06
6.884765625,9.313706814511949e-06,2.45216903700137e-06
6.93359375,3.223954492396685e-05,2.45216903700137e-06
6.982421875,2.2106117588574438e-05,2.45216903700137e-06
7.03125,1.1928866775106445e-05,2.45216903700137e-06
7.080078125,3.906817436767144e-05,2.45216903700137e-06
7.12890625,3.7981306536418374e-05,2.45216903700137e-06
7.177734375,2.397812751284291e-05,2.45216903700137e-06
7.2265625,3.524151611721706e-05,2.45216903700137e-06
7.275390625,2.2103850867072632e-05,2.45216903700137e-06
7.32421875,3.6795394184322515e-05,2.45216903700137e-06
7.373046875,2.5773397329810087e-05,2.45216903700137e-06
7.421875,2.0761690227689287e-05,2.45216903700137e-06
7.470703125,3.734306654351542e-05,2.45216903700137e-06
7.51953125,2.4174809377534727e-05,2.45216903700137e-06
7.568359375,4.959189372432814e-05,2.45216903700137e-06
7.6171875,4.187571269489117e-05,2.45216903700137e-06
7.666015625,1.5083045154757504e-05,2.45216903700137e-06
7.71484375,2.7032999814308162e-05,2.45216903700137e-06
7.763671875,3.2991648884354455e-05,2.45216903700137e-06
7.8125,1.8933704618884845e-05,2.45216903700137e-06
7.861328125,2.5522975845801488e-05,2.45216903700137e-06
7.91015625,1.673386149845933e-05,2.45216903700137e-06
7.958984375,2.608496981863308e-05,2.45216903700137e-06
8.0078125,1.536017487627719e-05,2.45216903700137e-06
8.056640625,2.8637582288518357e-05,2.45216903700137e-06
8.10546875,1.620014525562818e-05,2.45216903700137e-06
