step,env_id,time_s,wrench_magnitude
26,2,0.26,0.5957489013671875
26,3,0.26,1.4103503227233887
27,0,0.27,0.7406103610992432
27,1,0.27,1.2778264284133911
27,2,0.27,0.6675268411636353
27,3,0.27,1.1173443794250488
28,0,0.28,0.46000292897224426
28,1,0.28,1.5086427927017212
28,2,0.28,0.579856276512146
28,3,0.28,1.296718955039978
29,0,0.29,0.6915890574455261
29,1,0.29,1.4034554958343506
29,2,0.29,0.5119442939758301
29,3,0.29,1.2179526090621948
30,0,0.3,0.7432267665863037
30,1,0.3,1.3393514156341553
30,2,0.3,0.3908027410507202
30,3,0.3,1.0493853092193604
31,0,0.31,0.9896162152290344
31,1,0.31,1.4432231187820435
31,2,0.31,0.38886353373527527
31,3,0.31,1.3701649904251099
32,0,0.32,1.0299988985061646
32,1,0.32,1.7342684268951416
32,2,0.32,0.33287960290908813
32,3,0.32,1.6432249546051025
33,0,0.33,0.9590203166007996
33,1,0.33,1.9551987648010254
33,2,0.33,0.39780542254447937
33,3,0.33,1.544194221496582
34,0,0.34,1.1001832485198975
34,1,0.34,2.218435764312744
34,2,0.34,0.21444174647331238
34,3,0.34,1.4460773468017578
35,0,0.35000000000000003,1.0822831392288208
35,1,0.35000000000000003,2.151327610015869
35,2,0.35000000000000003,0.1546943038702011
35,3,0.35000000000000003,1.4119020700454712
36,0,0.36,1.4251588582992554
36,1,0.36,1.8615227937698364
36,2,0.36,0.4029728174209595
36,3,0.36,1.6526453495025635
37,0,0.37,1.2652747631072998
37,1,0.37,1.801202654838562
37,2,0.37,0.5013916492462158
37,3,0.37,1.5567536354064941
38,0,0.38,1.259742259979248
38,1,0.38,1.6484496593475342
38,2,0.38,0.4351486563682556
38,3,0.38,1.7597038745880127
39,0,0.39,1.3536535501480103
39,1,0.39,1.641531229019165
39,2,0.39,0.3872920572757721
39,3,0.39,1.7969434261322021
40,0,0.4,1.3686282634735107
40,1,0.4,1.5922954082489014
40,2,0.4,0.6071712970733643
40,3,0.4,1.8919800519943237
41,0,0.41000000000000003,1.2968674898147583
41,1,0.41000000000000003,1.5640770196914673
41,2,0.41000000000000003,0.6816595196723938
41,3,0.41000000000000003,2.091059923171997
42,0,0.42,1.1962205171585083
42,1,0.42,1.625593900680542
42,2,0.42,0.8595553040504456
42,3,0.42,2.07772159576416
43,0,0.43,1.1029070615768433
43,1,0.43,1.4801743030548096
43,2,0.43,0.8982502222061157
43,3,0.43,1.9578684568405151
44,0,0.44,0.9391580820083618
44,1,0.44,1.6680651903152466
44,2,0.44,0.8339280486106873
44,3,0.44,1.7868136167526245
45,0,0.45,0.89250248670578
45,1,0.45,1.9020129442214966
45,2,0.45,0.7842028737068176
45,3,0.45,1.9633756875991821
46,0,0.46,1.0786693096160889
46,1,0.46,1.942440390586853
46,2,0.46,0.7014061212539673
46,3,0.46,2.0203633308410645
47,0,0.47000000000000003,1.442392110824585
47,1,0.47000000000000003,1.8377041816711426
47,2,0.47000000000000003,0.6152498722076416
47,3,0.47000000000000003,1.749958872795105
48,0,0.48,1.4703289270401
48,1,0.48,2.3709230422973633
48,2,0.48,0.5283541083335876
48,3,0.48,1.9703547954559326
49,0,0.49,1.290700912475586
49,1,0.49,2.362413167953491
49,2,0.49,0.543995201587677
49,3,0.49,2.011866807937622
50,0,0.5,1.1830943822860718
50,1,0.5,2.2798492908477783
50,2,0.5,0.7913265228271484
50,3,0.5,1.8999855518341064
51,0,0.51,1.217535376548767
51,1,0.51,2.2138450145721436
51,2,0.51,1.087463617324829
51,3,0.51,2.0007688999176025
52,0,0.52,1.4842387437820435
52,1,0.52,1.7966328859329224
52,2,0.52,1.4996769428253174
52,3,0.52,2.053196668624878
53,0,0.53,1.5257455110549927
53,1,0.53,1.9206708669662476
53,2,0.53,1.249686360359192
53,3,0.53,2.033745765686035
54,0,0.54,1.3020323514938354
54,1,0.54,2.1853010654449463
54,2,0.54,1.2061758041381836
54,3,0.54,2.0191338062286377
55,0,0.55,1.2243938446044922
55,1,0.55,2.3276045322418213
55,2,0.55,0.9141800999641418
55,3,0.55,1.6318635940551758
56,0,0.56,1.01315176486969
56,1,0.56,2.3003718852996826
56,2,0.56,0.5808358192443848
56,3,0.56,1.6043757200241089
57,0,0.5700000000000001,0.8993149399757385
57,1,0.5700000000000001,2.4983322620391846
